customer_id,last_login_date,avg_session_per_week,usage_drop_flag
C001,2025-11-22,2.6,0
C002,2025-10-25,1.7,0
C003,2025-10-22,3.1,0
C004,2025-10-11,0.4,1
C005,2025-11-29,4.3,0
C006,2025-11-29,6.3,1
C007,2025-11-10,5.0,0
C008,2025-11-22,1.1,1
C009,2025-11-05,6.2,1
C010,2025-10-06,0.6,1
C011,2025-11-06,3.2,0
C012,2025-10-18,4.1,0
C013,2025-10-08,2.0,1
C014,2025-10-23,3.8,0
C015,2025-11-01,0.9,1
C016,2025-11-20,2.6,1
C017,2025-10-28,0.3,0
C018,2025-11-10,3.9,1
C019,2025-11-09,2.0,1
C020,2025-11-06,3.2,1
C021,2025-11-26,6.9,0
C022,2025-10-13,6.8,1
C023,2025-10-28,5.6,1
C024,2025-11-09,6.6,0
C025,2025-10-17,4.2,1
C026,2025-11-06,0.3,0
C027,2025-10-13,5.0,1
C028,2025-11-07,3.2,0
C029,2025-10-25,6.5,1
C030,2025-10-15,2.8,1
C031,2025-11-11,2.4,1
C032,2025-11-19,3.9,1
C033,2025-11-26,0.1,1
C034,2025-11-17,0.8,1
C035,2025-11-11,2.2,0
C036,2025-11-12,3.3,0
C037,2025-11-20,0.4,1
C038,2025-10-15,3.7,1
C039,2025-10-14,5.8,0
C040,2025-10-07,4.0,0
C041,2025-10-17,0.1,1
C042,2025-10-31,1.1,0
C043,2025-10-31,3.5,1
C044,2025-11-29,5.9,0
C045,2025-11-19,1.0,0
C046,2025-11-09,2.3,1
C047,2025-11-07,2.6,0
C048,2025-11-03,6.4,1
C049,2025-11-08,2.5,1
C050,2025-11-13,3.4,0
C051,2025-10-22,3.9,0
C052,2025-10-24,5.4,0
C053,2025-11-18,4.9,1
C054,2025-11-04,2.4,1
C055,2025-10-23,0.9,1
C056,2025-12-01,6.9,1
C057,2025-11-23,5.6,1
C058,2025-10-07,2.0,0
C059,2025-10-27,6.5,1
C060,2025-11-21,3.4,0
C061,2025-11-26,3.8,1
C062,2025-10-13,0.8,0
C063,2025-10-20,0.4,0
C064,2025-11-14,1.6,0
C065,2025-10-31,2.3,1
C066,2025-10-11,4.8,0
C067,2025-10-05,6.8,0
C068,2025-10-31,4.6,1
C069,2025-11-04,4.6,1
C070,2025-10-25,2.0,0
C071,2025-12-02,5.4,0
C072,2025-11-08,5.2,0
C073,2025-12-02,6.5,1
C074,2025-11-30,5.9,0
C075,2025-11-27,2.8,1
C076,2025-10-16,6.6,1
C077,2025-11-30,0.3,1
C078,2025-11-10,4.2,1
C079,2025-10-23,3.2,1
C080,2025-11-30,6.6,1
C081,2025-10-22,1.3,0
C082,2025-10-26,1.1,1
C083,2025-11-15,1.8,0
C084,2025-10-05,5.2,1
C085,2025-11-10,4.7,0
C086,2025-10-16,4.3,1
C087,2025-11-26,3.0,1
C088,2025-10-10,2.8,0
C089,2025-10-16,6.9,1
C090,2025-10-25,6.6,0
C091,2025-10-21,2.7,1
C092,2025-11-22,1.9,1
C093,2025-10-24,4.1,0
C094,2025-10-21,4.6,0
C095,2025-10-08,4.7,1
C096,2025-10-24,1.1,1
C097,2025-11-18,0.8,1
C098,2025-10-28,4.3,0
C099,2025-10-13,3.3,1
C100,2025-11-21,6.9,1
C101,2025-10-31,4.9,1
C102,2025-11-22,3.8,0
C103,2025-11-22,1.7,0
C104,2025-11-07,3.1,1
C105,2025-10-09,6.4,0
C106,2025-10-08,5.8,0
C107,2025-11-10,3.8,0
C108,2025-10-25,6.0,1
C109,2025-10-12,4.8,1
C110,2025-10-10,6.3,1
C111,2025-11-25,0.4,0
C112,2025-11-06,2.9,0
C113,2025-11-09,3.2,1
C114,2025-11-20,0.2,1
C115,2025-11-26,0.0,0
C116,2025-11-11,0.5,1
C117,2025-10-27,4.9,0
C118,2025-12-01,0.5,1
C119,2025-10-07,2.0,0
C120,2025-11-23,0.9,1
C121,2025-10-28,6.9,1
C122,2025-11-02,6.1,1
C123,2025-10-29,0.6,0
C124,2025-11-15,6.0,0
C125,2025-10-16,6.9,1
C126,2025-11-07,0.9,0
C127,2025-11-27,0.0,0
C128,2025-10-24,3.2,1
C129,2025-11-08,2.7,0
C130,2025-10-20,3.2,0
C131,2025-10-22,1.3,0
C132,2025-10-07,5.7,1
C133,2025-11-13,5.4,0
C134,2025-10-20,1.4,0
C135,2025-11-12,0.2,0
C136,2025-10-20,5.2,1
C137,2025-11-02,1.6,0
C138,2025-11-22,6.0,0
C139,2025-10-13,3.5,1
C140,2025-10-19,5.7,1
C141,2025-11-10,4.2,1
C142,2025-10-20,2.1,0
C143,2025-11-16,3.6,1
C144,2025-10-24,1.9,0
C145,2025-11-14,4.8,1
C146,2025-10-08,6.8,1
C147,2025-11-24,3.7,1
C148,2025-10-31,1.0,1
C149,2025-10-16,5.3,1
C150,2025-10-20,5.9,1
C151,2025-11-28,5.0,1
C152,2025-12-02,0.4,1
C153,2025-10-31,3.9,0
C154,2025-10-29,1.7,0
C155,2025-10-26,4.5,1
C156,2025-11-28,2.6,0
C157,2025-10-08,1.9,0
C158,2025-11-29,0.5,0
C159,2025-11-04,1.5,1
C160,2025-10-24,6.7,0
C161,2025-10-18,6.6,0
C162,2025-11-21,7.0,1
C163,2025-12-02,1.7,0
C164,2025-10-30,6.4,1
C165,2025-11-23,2.0,1
C166,2025-11-08,4.5,1
C167,2025-10-21,2.5,1
C168,2025-11-03,0.7,1
C169,2025-11-22,5.9,0
C170,2025-10-28,2.2,0
C171,2025-11-10,6.0,0
C172,2025-10-06,1.8,1
C173,2025-10-23,1.1,1
C174,2025-10-19,2.7,0
C175,2025-11-05,3.9,1
C176,2025-10-21,5.3,1
C177,2025-11-20,4.5,1
C178,2025-11-03,1.2,1
C179,2025-10-15,1.0,1
C180,2025-10-16,6.4,0
C181,2025-11-07,0.2,0
C182,2025-11-26,4.7,0
C183,2025-10-31,1.0,0
C184,2025-10-09,5.0,0
C185,2025-10-18,3.5,1
C186,2025-10-08,4.3,1
C187,2025-11-16,3.4,0
C188,2025-11-08,3.9,0
C189,2025-10-06,3.7,1
C190,2025-11-08,6.8,0
C191,2025-11-06,5.7,1
C192,2025-11-25,6.6,0
C193,2025-10-11,6.4,0
C194,2025-10-20,1.3,1
C195,2025-11-26,2.5,1
C196,2025-10-10,2.6,1
C197,2025-11-03,4.0,0
C198,2025-10-24,4.8,0
C199,2025-11-15,6.9,0
C200,2025-10-10,2.8,1
C201,2025-11-09,3.3,0
C202,2025-11-18,1.2,1
C203,2025-11-28,3.0,1
C204,2025-11-10,6.8,0
C205,2025-12-01,3.7,0
C206,2025-10-19,1.5,1
C207,2025-10-22,0.3,0
C208,2025-11-17,6.5,0
C209,2025-10-16,6.5,1
C210,2025-10-06,6.7,0
C211,2025-11-22,5.7,1
C212,2025-10-09,2.1,0
C213,2025-11-10,5.8,1
C214,2025-11-17,6.3,1
C215,2025-10-29,5.3,0
C216,2025-11-24,6.9,0
C217,2025-11-06,5.2,1
C218,2025-10-08,0.7,0
C219,2025-11-27,0.5,1
C220,2025-11-23,2.3,1
C221,2025-11-24,6.9,1
C222,2025-10-19,2.5,1
C223,2025-11-01,1.3,1
C224,2025-10-10,5.4,1
C225,2025-11-25,1.7,0
C226,2025-10-10,1.9,1
C227,2025-11-19,5.5,0
C228,2025-11-21,2.7,1
C229,2025-10-11,0.6,1
C230,2025-11-02,2.5,1
C231,2025-10-11,0.9,0
C232,2025-11-01,3.1,1
C233,2025-10-11,0.2,1
C234,2025-11-09,0.7,1
C235,2025-11-29,2.7,1
C236,2025-10-31,2.7,0
C237,2025-11-20,6.3,0
C238,2025-11-10,3.6,1
C239,2025-10-15,1.0,1
C240,2025-10-22,3.5,0
C241,2025-10-15,3.0,1
C242,2025-10-24,3.4,0
C243,2025-10-28,1.8,0
C244,2025-11-20,4.4,0
C245,2025-11-03,0.7,1
C246,2025-10-05,6.6,1
C247,2025-11-27,4.3,1
C248,2025-11-02,2.3,0
C249,2025-10-24,2.2,0
C250,2025-11-04,2.2,1
C251,2025-10-25,2.0,1
C252,2025-11-10,5.5,1
C253,2025-10-29,2.0,1
C254,2025-10-28,0.8,0
C255,2025-11-11,7.0,0
C256,2025-11-17,5.4,0
C257,2025-11-20,3.2,0
C258,2025-11-02,5.6,0
C259,2025-11-26,5.9,1
C260,2025-11-17,3.5,1
C261,2025-10-20,1.8,0
C262,2025-11-19,3.0,1
C263,2025-10-09,3.1,1
C264,2025-11-11,2.8,1
C265,2025-11-08,0.3,1
C266,2025-11-18,6.3,0
C267,2025-10-11,5.4,1
C268,2025-10-15,4.5,0
C269,2025-11-10,6.9,1
C270,2025-11-22,2.3,1
C271,2025-10-11,0.1,1
C272,2025-10-19,3.6,0
C273,2025-11-02,2.6,1
C274,2025-11-23,4.8,0
C275,2025-10-27,7.0,1
C276,2025-10-11,2.1,0
C277,2025-10-12,5.8,0
C278,2025-10-27,2.2,1
C279,2025-11-24,1.4,1
C280,2025-10-27,3.3,1
C281,2025-11-20,4.9,1
C282,2025-10-09,2.1,0
C283,2025-10-06,5.9,0
C284,2025-11-17,5.6,0
C285,2025-11-07,1.2,0
C286,2025-10-26,3.9,1
C287,2025-10-19,5.6,0
C288,2025-10-16,4.5,1
C289,2025-10-30,0.2,0
C290,2025-11-02,4.1,1
C291,2025-10-05,4.9,0
C292,2025-10-22,5.3,0
C293,2025-11-10,0.7,0
C294,2025-10-28,2.3,1
C295,2025-10-12,1.8,1
C296,2025-11-07,6.8,1
C297,2025-11-12,2.7,1
C298,2025-11-11,0.8,1
C299,2025-11-28,3.2,0
C300,2025-11-26,4.7,1
C301,2025-12-02,4.3,0
C302,2025-11-17,0.9,0
C303,2025-10-20,2.1,0
C304,2025-10-28,4.9,1
C305,2025-10-31,4.2,1
C306,2025-11-01,1.3,0
C307,2025-11-09,1.2,1
C308,2025-10-13,1.3,1
C309,2025-11-13,0.4,1
C310,2025-10-05,3.4,0
C311,2025-11-26,2.7,1
C312,2025-10-31,4.8,1
C313,2025-11-19,5.9,1
C314,2025-10-15,0.6,0
C315,2025-11-24,5.3,1
C316,2025-10-07,1.9,1
C317,2025-10-15,5.5,1
C318,2025-11-09,3.6,0
C319,2025-10-22,5.4,1
C320,2025-11-08,5.8,0
C321,2025-11-22,5.0,0
C322,2025-11-01,0.7,0
C323,2025-10-24,6.1,0
C324,2025-11-02,1.8,0
C325,2025-11-02,6.1,0
C326,2025-11-23,5.7,0
C327,2025-11-25,5.2,1
C328,2025-11-29,5.0,1
C329,2025-10-15,4.3,0
C330,2025-11-26,1.4,0
C331,2025-11-10,2.5,1
C332,2025-11-12,3.8,1
C333,2025-11-19,2.0,1
C334,2025-11-28,3.6,0
C335,2025-10-13,6.7,1
C336,2025-12-02,0.4,1
C337,2025-11-29,4.6,0
C338,2025-10-20,1.0,1
C339,2025-11-27,1.7,1
C340,2025-11-05,1.0,1
C341,2025-11-14,2.9,1
C342,2025-10-09,4.4,0
C343,2025-10-30,3.6,1
C344,2025-11-18,6.6,1
C345,2025-11-03,6.7,1
C346,2025-11-11,0.0,0
C347,2025-11-20,6.8,1
C348,2025-11-28,0.4,1
C349,2025-10-18,6.8,0
C350,2025-11-05,1.9,1
C351,2025-10-26,3.8,0
C352,2025-11-10,6.0,1
C353,2025-12-01,4.8,0
C354,2025-10-07,0.7,1
C355,2025-10-06,0.9,0
C356,2025-11-02,3.2,1
C357,2025-10-17,7.0,0
C358,2025-11-30,4.5,0
C359,2025-11-29,6.5,1
C360,2025-10-10,4.6,1
C361,2025-10-10,2.6,0
C362,2025-10-08,2.8,1
C363,2025-11-20,4.9,0
C364,2025-11-01,4.6,0
C365,2025-10-05,1.5,0
C366,2025-10-13,4.2,1
C367,2025-10-05,0.1,1
C368,2025-11-26,0.8,1
C369,2025-11-18,0.9,0
C370,2025-10-19,2.7,0
C371,2025-10-11,2.2,1
C372,2025-10-13,2.7,0
C373,2025-11-15,7.0,0
C374,2025-10-09,3.7,0
C375,2025-11-13,4.6,1
C376,2025-10-27,5.1,0
C377,2025-12-02,2.9,1
C378,2025-11-29,1.5,0
C379,2025-10-13,5.3,1
C380,2025-10-27,6.7,1
C381,2025-11-24,1.0,1
C382,2025-11-15,0.6,1
C383,2025-11-23,6.6,0
C384,2025-11-28,5.9,1
C385,2025-10-18,3.6,0
C386,2025-11-21,2.7,0
C387,2025-11-24,6.3,0
C388,2025-11-05,2.7,0
C389,2025-11-05,4.5,0
C390,2025-11-07,6.2,0
C391,2025-10-28,6.5,0
C392,2025-10-29,6.0,1
C393,2025-10-28,3.8,0
C394,2025-11-22,3.3,0
C395,2025-10-06,4.1,0
C396,2025-10-21,1.5,0
C397,2025-11-24,2.8,1
C398,2025-11-14,5.0,1
C399,2025-11-01,4.9,0
C400,2025-11-14,3.8,0
C401,2025-10-22,0.6,0
C402,2025-11-06,6.4,0
C403,2025-11-08,2.3,0
C404,2025-10-24,4.9,0
C405,2025-10-08,1.7,1
C406,2025-10-12,3.2,0
C407,2025-10-24,4.7,0
C408,2025-10-12,0.1,0
C409,2025-11-18,0.1,1
C410,2025-10-27,3.7,1
C411,2025-10-15,2.6,1
C412,2025-11-20,6.2,0
C413,2025-10-26,5.6,1
C414,2025-11-07,0.4,0
C415,2025-11-05,3.2,1
C416,2025-10-08,3.5,0
C417,2025-10-28,1.1,0
