customer_id,tickets_last_30d,avg_resolution_time_hrs,last_ticket_date
C001,6,36.0,2025-10-27
C002,4,3.3,2025-11-18
C003,2,45.6,2025-11-10
C004,1,27.9,2025-10-17
C005,6,47.4,2025-11-30
C006,3,26.9,2025-10-16
C007,3,3.7,2025-10-08
C008,1,29.7,2025-10-06
C009,4,24.0,2025-10-26
C010,4,11.3,2025-10-13
C011,2,35.0,2025-12-02
C012,6,40.8,2025-10-25
C013,0,3.0,2025-11-11
C014,5,44.2,2025-11-23
C015,0,40.9,2025-11-29
C016,2,46.2,2025-10-28
C017,5,45.3,2025-10-30
C018,4,6.6,2025-10-24
C019,2,8.3,2025-10-15
C020,5,45.6,2025-11-24
C021,5,46.2,2025-11-15
C022,2,10.0,2025-11-09
C023,5,42.9,2025-11-13
C024,6,18.4,2025-11-16
C025,4,39.5,2025-10-29
C026,2,35.8,2025-10-23
C027,1,10.2,2025-10-05
C028,5,45.6,2025-10-30
C029,6,47.7,2025-11-10
C030,0,10.4,2025-10-25
C031,6,46.5,2025-10-19
C032,5,28.0,2025-11-05
C033,1,17.2,2025-10-09
C034,1,18.0,2025-10-25
C035,1,31.3,2025-10-10
C036,6,34.6,2025-11-14
C037,5,42.8,2025-11-02
C038,0,14.2,2025-10-20
C039,5,5.1,2025-10-21
C040,6,7.0,2025-10-05
C041,0,19.8,2025-11-20
C042,3,46.6,2025-11-30
C043,3,24.7,2025-10-29
C044,2,27.1,2025-10-11
C045,6,24.1,2025-11-29
C046,4,31.9,2025-11-17
C047,1,9.5,2025-10-09
C048,6,40.9,2025-10-23
C049,0,16.7,2025-10-11
C050,0,17.7,2025-11-30
C051,3,9.4,2025-10-09
C052,4,45.3,2025-10-10
C053,2,29.3,2025-11-13
C054,3,34.4,2025-11-01
C055,5,9.6,2025-11-30
C056,3,9.2,2025-10-11
C057,2,11.5,2025-10-17
C058,3,34.1,2025-11-20
C059,5,26.8,2025-11-16
C060,2,15.7,2025-10-11
C061,0,20.1,2025-11-09
C062,6,24.6,2025-10-08
C063,2,2.2,2025-10-10
C064,2,39.9,2025-11-14
C065,4,24.1,2025-10-11
C066,0,11.5,2025-11-14
C067,2,46.9,2025-11-04
C068,6,7.3,2025-11-24
C069,3,23.7,2025-12-01
C070,5,14.2,2025-11-15
C071,4,19.8,2025-10-28
C072,3,19.0,2025-11-02
C073,0,14.1,2025-11-03
C074,2,12.4,2025-10-22
C075,4,4.8,2025-11-22
C076,5,32.7,2025-10-10
C077,5,17.8,2025-11-08
C078,3,46.7,2025-11-11
C079,1,27.5,2025-11-27
C080,3,39.6,2025-10-31
C081,4,33.6,2025-11-04
C082,4,42.6,2025-11-04
C083,2,5.6,2025-12-01
C084,6,34.9,2025-11-06
C085,4,43.4,2025-11-25
C086,4,33.2,2025-11-13
C087,1,7.5,2025-11-22
C088,3,10.0,2025-10-15
C089,1,39.2,2025-10-13
C090,0,21.5,2025-11-17
C091,3,11.3,2025-11-26
C092,5,8.8,2025-11-12
C093,2,16.7,2025-11-20
C094,6,5.1,2025-10-29
C095,4,20.3,2025-10-25
C096,6,14.7,2025-11-03
C097,6,2.6,2025-11-18
C098,4,29.0,2025-11-24
C099,3,7.2,2025-10-14
C100,1,28.1,2025-11-11
C101,6,46.4,2025-10-11
C102,0,27.9,2025-10-11
C103,6,15.2,2025-11-08
C104,2,42.4,2025-10-21
C105,3,32.1,2025-11-10
C106,4,23.8,2025-10-16
C107,2,20.5,2025-11-13
C108,4,33.3,2025-10-30
C109,0,20.2,2025-11-30
C110,2,33.8,2025-10-08
C111,5,23.9,2025-10-22
C112,2,2.9,2025-11-26
C113,6,15.9,2025-10-22
C114,6,24.6,2025-11-18
C115,5,6.5,2025-11-29
C116,1,8.2,2025-11-21
C117,3,37.6,2025-10-25
C118,2,35.5,2025-11-12
C119,5,6.1,2025-11-02
C120,1,44.0,2025-10-31
C121,5,24.3,2025-11-07
C122,6,19.2,2025-10-08
C123,4,38.4,2025-10-09
C124,2,34.6,2025-10-30
C125,1,37.9,2025-11-07
C126,4,3.3,2025-10-17
C127,6,11.2,2025-10-08
C128,1,3.5,2025-10-08
C129,2,34.4,2025-10-22
C130,2,39.9,2025-11-06
C131,3,31.2,2025-10-12
C132,5,3.4,2025-10-28
C133,3,29.3,2025-10-16
C134,6,23.8,2025-11-09
C135,2,17.8,2025-11-27
C136,2,36.5,2025-11-18
C137,0,15.1,2025-10-29
C138,0,9.5,2025-11-10
C139,6,46.4,2025-11-28
C140,1,31.8,2025-11-17
C141,1,14.4,2025-10-31
C142,4,2.9,2025-11-23
C143,6,33.4,2025-11-04
C144,1,31.8,2025-11-12
C145,6,2.4,2025-10-21
C146,4,39.0,2025-10-24
C147,5,46.5,2025-11-15
C148,2,21.5,2025-10-29
C149,6,18.0,2025-10-21
C150,1,23.5,2025-11-17
C151,4,39.9,2025-10-30
C152,4,6.7,2025-11-06
C153,5,46.5,2025-11-27
C154,2,27.8,2025-11-12
C155,4,15.0,2025-11-17
C156,0,24.2,2025-10-26
C157,2,31.5,2025-11-29
C158,2,14.0,2025-11-19
C159,5,15.7,2025-10-14
C160,4,37.2,2025-12-01
C161,0,39.0,2025-11-25
C162,6,29.6,2025-11-16
C163,2,33.3,2025-11-20
C164,0,32.1,2025-10-23
C165,2,43.7,2025-10-30
C166,3,35.9,2025-11-11
C167,5,47.8,2025-11-26
C168,1,17.8,2025-11-19
C169,1,33.6,2025-11-14
C170,6,23.9,2025-11-16
C171,2,25.3,2025-11-28
C172,1,40.7,2025-11-30
C173,4,10.3,2025-10-11
C174,3,7.9,2025-10-21
C175,5,39.2,2025-11-22
C176,1,45.6,2025-12-01
C177,2,32.1,2025-10-19
C178,2,12.3,2025-11-29
C179,2,21.3,2025-11-30
C180,2,19.1,2025-11-11
C181,2,23.3,2025-10-12
C182,3,4.5,2025-11-14
C183,4,28.7,2025-11-13
C184,0,23.7,2025-10-17
C185,4,7.5,2025-11-17
C186,3,26.4,2025-10-31
C187,0,42.1,2025-10-14
C188,1,47.6,2025-10-26
C189,3,47.4,2025-12-01
C190,3,8.6,2025-11-29
C191,5,10.3,2025-10-10
C192,3,17.3,2025-10-16
C193,2,31.2,2025-10-05
C194,3,14.6,2025-11-22
C195,6,9.8,2025-11-22
C196,1,24.5,2025-11-22
