customer_id,bill_date,bill_amount,bill_status,payment_delay_days
CUST0000001,2023-01-01,64.67,Paid,1
CUST0000001,2023-01-31,103.1,Unpaid,5
CUST0000001,2023-03-02,97.05,Paid Late,2
CUST0000001,2023-04-01,110.7,Paid Late,1
CUST0000001,2023-05-01,97.1,Paid,0
CUST0000001,2023-05-31,69.66,Paid Late,9
CUST0000001,2023-06-30,82.88,Disputed,2
CUST0000001,2023-07-30,78.58,Paid,0
CUST0000001,2023-08-29,56.4,Paid,0
CUST0000001,2023-09-28,71.27,Paid,3
CUST0000001,2023-10-28,65.4,Unpaid,12
CUST0000001,2023-11-27,72.65,Paid,0
CUST0000001,2023-12-27,105.33,Paid,4
CUST0000001,2024-01-26,92.17,Paid,11
CUST0000001,2024-02-25,97.85,Disputed,6
CUST0000001,2024-03-26,83.43,Paid,4
CUST0000001,2024-04-25,138.05,Paid,5
CUST0000001,2024-05-25,84.85,Paid Late,4
CUST0000001,2024-06-24,55.88,Paid,7
CUST0000001,2024-07-24,75.74,Paid,5
CUST0000001,2024-08-23,46.85,Paid,1
CUST0000001,2024-09-22,50.31,Paid,4
CUST0000001,2024-10-22,78.86,Paid Late,5
CUST0000001,2024-11-21,55.08,Paid,14
CUST0000002,2023-01-01,209.9,Disputed,0
CUST0000002,2023-01-31,232.96,Paid,1
CUST0000002,2023-03-02,255.44,Paid,4
CUST0000002,2023-04-01,247.41,Unpaid,10
CUST0000002,2023-05-01,247.84,Unpaid,1
CUST0000002,2023-05-31,205.17,Paid,4
CUST0000002,2023-06-30,200.52,Paid,1
CUST0000002,2023-07-30,151.62,Paid Late,6
CUST0000002,2023-08-29,152.04,Paid,9
CUST0000002,2023-09-28,138.41,Unpaid,8
CUST0000002,2023-10-28,179.11,Paid,5
CUST0000002,2023-11-27,138.17,Paid,0
CUST0000002,2023-12-27,177.73,Paid Late,0
CUST0000002,2024-01-26,242.53,Paid,2
CUST0000002,2024-02-25,233.68,Paid,6
CUST0000002,2024-03-26,256.85,Unpaid,0
CUST0000002,2024-04-25,285.06,Paid,3
CUST0000002,2024-05-25,242.87,Paid Late,4
CUST0000002,2024-06-24,187.2,Paid,3
CUST0000002,2024-07-24,166.88,Paid,0
CUST0000002,2024-08-23,107.1,Paid,0
CUST0000002,2024-09-22,142.78,Paid Late,2
CUST0000002,2024-10-22,124.12,Disputed,0
CUST0000002,2024-11-21,169.37,Paid,13
CUST0000003,2023-01-01,94.29,Paid,16
CUST0000003,2023-01-31,83.31,Disputed,3
CUST0000003,2023-03-02,92.48,Paid Late,4
CUST0000003,2023-04-01,85.12,Paid,17
CUST0000003,2023-05-01,80.49,Paid,1
CUST0000003,2023-05-31,90.96,Paid Late,2
CUST0000003,2023-06-30,112.41,Paid,4
CUST0000003,2023-07-30,63.77,Paid,8
CUST0000003,2023-08-29,66.2,Paid Late,17
CUST0000003,2023-09-28,12.53,Paid,0
CUST0000003,2023-10-28,10.0,Paid,0
