customer_id,reading_date,consumption_kwh,meter_type,reading_type
CUST0000001,2023-01-01,1751.15,Smart,Actual
CUST0000001,2023-01-31,1283.93,Digital,Actual
CUST0000001,2023-03-02,1160.93,Digital,Estimated
CUST0000001,2023-04-01,580.4,Smart,Actual
CUST0000001,2023-05-01,1070.82,Analog,Estimated
CUST0000001,2023-05-31,1304.55,Analog,Actual
CUST0000001,2023-06-30,1801.81,Smart,Actual
CUST0000001,2023-07-30,1836.01,Analog,Actual
CUST0000001,2023-08-29,2440.32,Smart,Actual
CUST0000001,2023-09-28,2450.97,Smart,Actual
CUST0000001,2023-10-28,2272.11,Smart,Actual
CUST0000001,2023-11-27,2016.0,Analog,Actual
CUST0000001,2023-12-27,1753.98,Smart,Actual
CUST0000001,2024-01-26,962.85,Smart,Estimated
CUST0000001,2024-02-25,1243.93,Digital,Actual
CUST0000001,2024-03-26,1110.5,Analog,Estimated
CUST0000001,2024-04-25,1096.41,Smart,Actual
CUST0000001,2024-05-25,1208.9,Smart,Estimated
CUST0000001,2024-06-24,1789.98,Smart,Actual
CUST0000001,2024-07-24,1993.07,Smart,Actual
CUST0000001,2024-08-23,1985.14,Digital,Actual
CUST0000001,2024-09-22,2242.02,Digital,Actual
CUST0000001,2024-10-22,2259.22,Smart,Actual
CUST0000001,2024-11-21,2055.92,Digital,Actual
CUST0000002,2023-01-01,1344.91,Digital,Actual
CUST0000002,2023-01-31,1082.79,Smart,Estimated
CUST0000002,2023-03-02,874.64,Digital,Actual
CUST0000002,2023-04-01,717.57,Smart,Estimated
CUST0000002,2023-05-01,936.74,Smart,Actual
CUST0000002,2023-05-31,827.24,Digital,Actual
CUST0000002,2023-06-30,1300.88,Digital,Actual
CUST0000002,2023-07-30,1509.16,Smart,Actual
CUST0000002,2023-08-29,1709.28,Smart,Actual
CUST0000002,2023-09-28,2101.49,Smart,Actual
CUST0000002,2023-10-28,1854.28,Digital,Estimated
CUST0000002,2023-11-27,1497.58,Smart,Actual
CUST0000002,2023-12-27,1084.5,Analog,Actual
CUST0000002,2024-01-26,954.94,Smart,Actual
CUST0000002,2024-02-25,666.54,Digital,Actual
CUST0000002,2024-03-26,966.13,Analog,Actual
CUST0000002,2024-04-25,954.87,Smart,Actual
CUST0000002,2024-05-25,1208.18,Smart,Actual
CUST0000002,2024-06-24,1456.07,Smart,Estimated
CUST0000002,2024-07-24,1563.44,Analog,Actual
CUST0000002,2024-08-23,1462.63,Analog,Actual
CUST0000002,2024-09-22,1821.87,Smart,Actual
CUST0000002,2024-10-22,1839.04,Digital,Estimated
CUST0000002,2024-11-21,1440.57,Digital,Actual
CUST0000003,2023-01-01,815.23,Smart,Actual
CUST0000003,2023-01-31,740.57,Digital,Actual
CUST0000003,2023-03-02,594.1,Smart,Actual
CUST0000003,2023-04-01,622.38,Analog,Actual
CUST0000003,2023-05-01,639.33,Digital,Actual
CUST0000003,2023-05-31,628.34,Digital,Actual
CUST0000003,2023-06-30,878.88,Smart,Actual
CUST0000003,2023-07-30,940.55,Smart,Actual
CUST0000003,2023-08-29,883.29,Smart,Actual
CUST0000003,2023-09-28,1073.01,Smart,Estimated
CUST0000003,2023-10-28,1027.32,Smart,Actual
CUST0000003,2023-11-27,853.55,Digital,Actual
CUST0000003,2023-12-27,678.41,Smart,Actual
CUST0000003,2024-01-26,606.44,Analog,Actual
CUST0000003,2024-02-25,532.93,Smart,Actual
CUST0000003,2024-03-26,548.88,Smart,Actual
CUST0000003,2024-04-25,400.92,Smart,Actual
CUST0000003,2024-05-25,547.98,Analog,Actual
CUST0000003,2024-06-24,769.3,Digital,Estimated
CUST0000003,2024-07-24,812.97,Digital,Estimated
CUST0000003,2024-08-23,1041.18,Smart,Actual
CUST0000003,2024-09-22,972.8,Digital,Actual
CUST0000003,2024-10-22,1044.86,Analog,Actual
CUST0000003,2024-11-21,1155.97,Digital,Actual
CUST0000004,2023-01-01,1684.8,Smart,Actual
CUST0000004,2023-01-31,1141.35,Smart,Actual
CUST0000004,2023-03-02,821.19,Smart,Actual
CUST0000004,2023-04-01,950.97,Digital,Actual
CUST0000004,2023-05-01,944.41,Digital,Actual
CUST0000004,2023-05-31,1384.0,Digital,Estimated
CUST0000004,2023-06-30,1562.35,Digital,Actual
CUST0000004,2023-07-30,1729.3,Analog,Actual
CUST0000004,2023-08-29,2004.63,Digital,Estimated
CUST0000004,2023-09-28,1927.32,Analog,Estimated
CUST0000004,2023-10-28,2145.53,Smart,Actual
CUST0000004,2023-11-27,1731.38,Digital,Actual
CUST0000004,2023-12-27,1572.32,Smart,Actual
CUST0000004,2024-01-26,1329.73,Smart,Actual
CUST0000004,2024-02-25,717.44,Smart,Actual
CUST0000004,2024-03-26,1025.8,Analog,Actual
CUST0000004,2024-04-25,804.49,Analog,Actual
CUST0000004,2024-05-25,1137.32,Smart,Actual
CUST0000004,2024-06-24,1680.85,Analog,Estimated
CUST0000004,2024-07-24,1894.92,Smart,Actual
CUST0000004,2024-08-23,2182.63,Analog,Estimated
CUST0000004,2024-09-22,2100.23,Analog,Estimated
CUST0000004,2024-10-22,2036.84,Smart,Actual
CUST0000004,2024-11-21,1817.44,Analog,Actual
CUST0000005,2023-01-01,649.51,Smart,Actual
CUST0000005,2023-01-31,658.17,Digital,Actual
CUST0000005,2023-03-02,509.68,Digital,Estimated
CUST0000005,2023-04-01,436.96,Analog,Actual
