customer_id,customer_name,age,gender,region,account_start_date,account_tenure_months,service_type,contract_type,dwelling_type,has_autopay,paperless_billing,family_size,income_bracket,home_ownership,churned
CUST0000001,Customer_1,55,Male,West,2023-03-03,22,Electricity,Residential,Townhouse,1,1,2,High,Own,0
CUST0000002,Customer_2,45,Male,Southwest,2024-02-01,11,Gas,Residential,Townhouse,1,1,1,Medium,Own,0
CUST0000003,Customer_3,57,Male,Gulf Coast,2015-04-02,117,Electricity+Gas,Commercial,Single Family,0,0,4,Medium,Own,0
CUST0000004,Customer_4,70,Male,Gulf Coast,2022-06-02,31,Electricity+Water,Commercial,Single Family,1,0,1,Medium,Rent,1
CUST0000005,Customer_5,44,Male,Northeast,2022-07-02,30,Electricity+Gas,Small Business,Condo,1,1,1,High,Rent,0
CUST0000006,Customer_6,44,Female,Northeast,2024-02-01,11,Electricity,Residential,Apartment,0,1,1,Medium,Own,1
CUST0000007,Customer_7,71,Female,Southeast,2022-09-01,28,Electricity,Small Business,Single Family,1,0,1,Medium-High,Own,0
CUST0000008,Customer_8,59,Female,Midwest,2014-10-01,123,Electricity+Water,Residential,Single Family,0,1,3,Medium,Own,1
CUST0000009,Customer_9,40,Male,Midwest,2022-10-02,27,Gas,Residential,Townhouse,1,0,3,Medium,Own,0
CUST0000010,Customer_10,56,Male,Northeast,2009-12-01,181,Electricity,Residential,Townhouse,1,0,3,Medium-Low,Rent,1
CUST0000011,Customer_11,41,Male,Northeast,2010-06-01,175,Water,Residential,Mobile Home,1,1,2,High,Rent,1
CUST0000012,Customer_12,41,Other,Northeast,2024-04-02,9,Electricity+Water,Residential,Apartment,1,1,1,Medium,Own,0
CUST0000013,Customer_13,51,Female,Gulf Coast,2024-02-01,11,Electricity+Gas,Small Business,Single Family,1,1,3,Low,Own,0
CUST0000014,Customer_14,19,Female,Gulf Coast,2015-01-31,119,Electricity,Residential,Townhouse,0,1,1,Low,Own,0
CUST0000015,Customer_15,22,Male,Northeast,2022-08-02,29,Gas,Small Business,Single Family,0,1,1,Medium,Own,0
CUST0000016,Customer_16,39,Female,Southeast,2024-12-01,1,Water,Residential,Single Family,1,0,2,Low,Own,0
CUST0000017,Customer_17,32,Male,Northeast,2023-06-02,19,Electricity+Water,Residential,Single Family,1,0,4,Medium-High,Own,0
CUST0000018,Customer_18,52,Female,Gulf Coast,2020-07-02,54,Electricity+Water,Residential,Single Family,1,0,1,Medium-Low,Own,0
CUST0000019,Customer_19,34,Female,Gulf Coast,2016-12-31,96,Electricity+Gas,Small Business,Condo,1,1,2,Medium,Lease,0
CUST0000020,Customer_20,26,Other,Southeast,2024-05-02,8,Water,Small Business,Apartment,0,1,1,Medium-Low,Rent,0
CUST0000021,Customer_21,69,Female,Southeast,2024-06-01,7,Electricity,Residential,Single Family,1,0,2,Medium-Low,Rent,1
CUST0000022,Customer_22,44,Male,Southeast,2012-04-01,153,Electricity,Residential,Apartment,1,1,3,Medium,Rent,0
CUST0000023,Customer_23,49,Female,Midwest,2018-01-31,83,Gas,Small Business,Apartment,0,1,5,Medium,Own,1
CUST0000024,Customer_24,26,Female,West,2020-08-01,53,Electricity+Water,Residential,Condo,1,1,2,Medium-Low,Own,1
CUST0000025,Customer_25,39,Male,Midwest,2017-10-01,87,Electricity,Residential,Condo,0,1,4,Medium-Low,Own,0
CUST0000026,Customer_26,49,Male,Gulf Coast,2022-04-02,33,Electricity,Residential,Single Family,1,0,5,Medium-Low,Rent,1
CUST0000027,Customer_27,30,Male,Northeast,2017-12-01,85,Electricity+Water,Residential,Condo,1,1,2,Medium-High,Rent,1
CUST0000028,Customer_28,53,Male,West,2022-10-02,27,Electricity,Residential,Single Family,0,0,3,Medium,Own,1
CUST0000029,Customer_29,38,Male,Southeast,2023-09-01,16,Electricity,Residential,Single Family,1,1,2,Medium,Own,0
CUST0000030,Customer_30,43,Female,Southeast,2018-07-02,78,Electricity+Gas,Residential,Single Family,1,1,4,High,Rent,0
CUST0000031,Customer_31,38,Male,West,2022-05-02,32,Electricity+Gas,Residential,Single Family,0,1,4,Medium-High,Own,0
CUST0000032,Customer_32,75,Male,Gulf Coast,2005-01-30,239,Gas,Residential,Condo,0,0,2,High,Rent,1
CUST0000033,Customer_33,47,Female,West,2022-12-01,25,Electricity+Water,Commercial,Townhouse,0,1,2,Medium,Own,0
CUST0000034,Customer_34,32,Female,West,2012-05-02,152,Electricity,Residential,Townhouse,1,1,6,Low,Own,0
CUST0000035,Customer_35,60,Female,West,2011-07-02,162,Electricity+Water,Residential,Mobile Home,1,1,1,Medium,Rent,0
CUST0000036,Customer_36,29,Male,Southeast,2023-09-01,16,Water,Residential,Single Family,1,1,1,Medium-Low,Own,0
CUST0000037,Customer_37,51,Female,West,2016-12-31,96,Gas,Residential,Single Family,0,0,5,Medium-Low,Own,0
CUST0000038,Customer_38,18,Female,West,2022-03-03,34,Water,Residential,Apartment,1,0,3,Medium,Lease,0
CUST0000039,Customer_39,28,Male,Midwest,2012-08-01,149,Electricity,Residential,Condo,0,1,1,Medium-Low,Own,0
CUST0000040,Customer_40,50,Male,Midwest,2022-01-31,35,Electricity,Commercial,Mobile Home,1,1,1,Low,Own,1
CUST0000041,Customer_41,59,Female,West,2018-04-02,81,Electricity+Water,Small Business,Single Family,1,0,2,Medium-Low,Own,0
CUST0000042,Customer_42,50,Female,West,2021-12-01,37,Electricity,Commercial,Condo,0,1,2,Medium-High,Own,1
CUST0000043,Customer_43,46,Other,Southeast,2023-10-02,15,Electricity,Residential,Condo,0,1,2,Low,Own,0
CUST0000044,Customer_44,43,Female,West,2023-12-02,13,Gas,Residential,Single Family,1,1,2,Low,Own,0
CUST0000045,Customer_45,25,Female,West,2022-04-02,33,Electricity,Residential,Apartment,0,0,2,Medium-High,Own,0
CUST0000046,Customer_46,37,Female,Southeast,2018-01-01,84,Electricity+Water,Small Business,Single Family,0,1,4,Medium-Low,Own,1
CUST0000047,Customer_47,41,Male,West,2020-06-01,55,Electricity+Water,Residential,Apartment,0,1,2,High,Rent,1
CUST0000048,Customer_48,63,Male,Southeast,2019-03-03,70,Gas,Small Business,Condo,0,1,1,Medium-Low,Own,0
CUST0000049,Customer_49,53,Male,Northeast,2023-06-02,19,Gas,Residential,Townhouse,1,1,1,Medium-High,Rent,1
CUST0000050,Customer_50,21,Female,Southwest,2021-10-01,39,Electricity+Gas,Residential,Apartment,1,0,2,Medium-Low,Own,0
CUST0000051,Customer_51,52,Female,Gulf Coast,2024-11-01,2,Electricity,Residential,Condo,1,1,2,Low,Own,0
CUST0000052,Customer_52,42,Female,Northeast,2016-07-02,102,Electricity,Residential,Single Family,0,1,3,Medium-High,Own,1
CUST0000053,Customer_53,37,Male,West,2002-01-30,275,Electricity,Residential,Single Family,0,1,2,High,Rent,0
CUST0000054,Customer_54,57,Female,Midwest,2022-06-02,31,Gas,Residential,Single Family,1,1,1,Medium-High,Own,0
CUST0000055,Customer_55,63,Male,Gulf Coast,2024-12-01,1,Electricity+Gas,Residential,Townhouse,1,1,5,Medium-High,Own,1
CUST0000056,Customer_56,61,Male,West,2024-02-01,11,Electricity+Water,Small Business,Condo,0,0,3,Low,Own,1
CUST0000057,Customer_57,35,Female,Gulf Coast,2019-10-02,63,Electricity+Gas,Residential,Apartment,1,0,3,Medium-High,Rent,1
CUST0000058,Customer_58,43,Female,West,2020-05-02,56,Electricity+Gas,Residential,Mobile Home,1,1,4,Medium,Lease,0
CUST0000059,Customer_59,52,Other,West,2017-04-02,93,Electricity,Residential,Townhouse,0,1,4,Medium,Own,0
CUST0000060,Customer_60,62,Male,Northeast,2023-08-02,17,Electricity+Water,Commercial,Apartment,1,0,3,Medium,Rent,1
CUST0000061,Customer_61,40,Female,Southeast,2017-11-01,86,Electricity+Water,Residential,Apartment,1,0,2,Medium-Low,Own,1
CUST0000062,Customer_62,45,Male,Southeast,2019-04-02,69,Electricity+Water,Commercial,Condo,0,1,4,Medium,Lease,1
CUST0000063,Customer_63,31,Male,West,2023-01-31,23,Electricity,Residential,Single Family,0,1,1,Medium-Low,Rent,0
CUST0000064,Customer_64,30,Female,Northeast,2021-01-31,47,Electricity+Gas,Commercial,Single Family,0,0,1,Medium,Own,0
CUST0000065,Customer_65,60,Female,Southeast,2024-04-02,9,Electricity+Gas,Residential,Single Family,1,1,1,Low,Own,1
CUST0000066,Customer_66,68,Female,Gulf Coast,2022-01-01,36,Electricity,Residential,Condo,1,1,3,Medium,Own,0
CUST0000067,Customer_67,46,Male,West,2014-06-02,127,Electricity+Water,Small Business,Mobile Home,0,1,4,Medium-Low,Rent,0
CUST0000068,Customer_68,63,Female,Gulf Coast,2022-05-02,32,Electricity,Commercial,Single Family,1,1,6,Medium-Low,Own,0
CUST0000069,Customer_69,53,Male,Northeast,2015-12-02,109,Electricity,Small Business,Mobile Home,0,1,3,Low,Rent,1
CUST0000070,Customer_70,38,Female,Southeast,2020-08-01,53,Gas,Residential,Apartment,1,1,2,Low,Rent,0
CUST0000071,Customer_71,53,Male,Southeast,2024-01-01,12,Electricity,Residential,Apartment,1,0,3,Medium-Low,Own,1
CUST0000072,Customer_72,71,Male,Northeast,2020-09-01,52,Electricity+Water,Residential,Condo,1,0,5,Medium-Low,Rent,0
CUST0000073,Customer_73,47,Female,Southeast,2021-07-02,42,Gas,Residential,Apartment,0,0,2,Medium-Low,Lease,0
CUST0000074,Customer_74,71,Female,Southeast,2022-07-02,30,Gas,Residential,Apartment,0,0,1,Low,Own,1
CUST0000075,Customer_75,18,Male,Northeast,2024-06-01,7,Electricity+Gas,Residential,Single Family,1,1,3,High,Rent,0
CUST0000076,Customer_76,60,Male,Southwest,2022-05-02,32,Electricity,Residential,Single Family,1,1,2,Low,Own,0
CUST0000077,Customer_77,49,Female,Southeast,2024-09-01,4,Water,Small Business,Apartment,1,0,2,Medium-High,Own,1
CUST0000078,Customer_78,43,Male,Northeast,2024-07-02,6,Water,Residential,Single Family,1,1,5,Medium,Lease,1
CUST0000079,Customer_79,49,Male,West,2022-05-02,32,Gas,Residential,Townhouse,1,1,3,Medium,Rent,0
CUST0000080,Customer_80,18,Male,West,2023-04-02,21,Electricity+Water,Residential,Apartment,1,1,3,Low,Rent,1
CUST0000081,Customer_81,44,Male,West,2012-01-31,155,Electricity+Gas,Residential,Apartment,1,1,1,Medium-Low,Own,0
CUST0000082,Customer_82,53,Female,Midwest,2022-09-01,28,Electricity+Gas,Residential,Townhouse,0,1,2,Medium-High,Own,0
CUST0000083,Customer_83,70,Female,Gulf Coast,2017-12-01,85,Electricity+Water,Residential,Mobile Home,1,0,1,Medium,Own,1
CUST0000084,Customer_84,40,Female,Gulf Coast,2021-04-02,45,Electricity+Gas,Commercial,Single Family,0,1,6,Medium,Rent,1
CUST0000085,Customer_85,35,Other,Southwest,2018-12-01,73,Gas,Residential,Apartment,1,1,3,Medium,Rent,0
CUST0000086,Customer_86,40,Male,Midwest,2023-07-03,18,Electricity,Residential,Condo,1,0,2,Medium,Own,1
CUST0000087,Customer_87,61,Male,Northeast,2010-11-01,170,Electricity+Gas,Residential,Single Family,0,0,1,Medium-High,Own,1
CUST0000088,Customer_88,52,Male,West,2021-04-02,45,Electricity+Water,Residential,Single Family,1,0,2,Medium-High,Rent,1
CUST0000089,Customer_89,40,Male,Southwest,2016-03-02,106,Gas,Residential,Apartment,0,0,3,Medium-Low,Lease,0
CUST0000090,Customer_90,55,Male,Gulf Coast,2022-10-02,27,Electricity,Residential,Apartment,1,1,5,Medium-High,Own,1
