customer_id,census_median_income,neighborhood_crime_index,area_avg_property_value,distance_to_service_center_miles,num_competitors_in_area,area_satisfaction_index,renewable_energy_adoption_pct,avg_outages_per_year_area
CUST0000001,31574.0,3.03,394708.0,2.4,1,4.54,21.1,5
CUST0000002,110242.0,7.04,328878.0,40.2,1,3.03,15.5,2
CUST0000003,55638.0,4.3,271120.0,24.4,0,4.1,26.2,1
CUST0000004,56908.0,6.54,413401.0,2.8,0,4.85,25.1,2
CUST0000005,101283.0,9.47,358006.0,11.1,0,4.0,14.8,4
CUST0000006,59202.0,1.88,98880.0,8.2,0,4.77,26.8,3
CUST0000007,107824.0,8.86,545297.0,28.8,3,4.66,20.0,2
CUST0000008,70276.0,9.77,250176.0,30.4,4,2.93,31.3,3
CUST0000009,79341.0,5.6,509255.0,40.6,1,2.28,0.1,0
CUST0000010,62145.0,8.43,520037.0,13.3,2,4.74,15.8,2
CUST0000011,40108.0,5.07,513058.0,31.7,0,3.62,21.0,3
CUST0000012,42771.0,3.58,169649.0,8.3,3,3.44,20.1,3
CUST0000013,70046.0,9.37,94314.0,9.5,1,2.15,13.4,4
CUST0000014,95878.0,4.38,127709.0,27.0,2,3.1,18.7,1
CUST0000015,71409.0,7.24,158242.0,20.4,0,3.75,7.8,4
CUST0000016,83347.0,2.75,111865.0,22.0,2,2.56,39.7,2
CUST0000017,60304.0,8.06,125089.0,46.3,0,4.71,26.6,1
CUST0000018,70899.0,9.46,255504.0,40.1,0,4.02,0.2,2
CUST0000019,46841.0,1.92,240602.0,27.0,0,3.07,3.7,4
CUST0000020,66795.0,2.03,98386.0,25.5,3,3.57,11.8,2
CUST0000021,41889.0,7.08,459292.0,45.8,3,4.46,37.7,2
CUST0000022,33340.0,8.78,480422.0,4.2,0,2.52,3.1,3
CUST0000023,37379.0,7.67,292049.0,6.8,0,2.18,29.2,1
CUST0000024,49210.0,4.52,338023.0,39.4,0,4.61,35.7,4
CUST0000025,79071.0,1.45,466559.0,0.8,1,2.24,5.4,4
CUST0000026,88956.0,9.5,386846.0,14.1,1,3.49,35.1,4
CUST0000027,82991.0,6.78,456532.0,28.5,1,4.08,31.6,3
CUST0000028,81749.0,3.04,319976.0,19.1,1,2.84,0.0,3
CUST0000029,60122.0,7.24,557042.0,23.8,1,3.84,23.4,1
CUST0000030,64252.0,3.85,405516.0,43.5,1,4.05,35.6,5
CUST0000031,66148.0,5.96,488859.0,49.0,3,2.19,34.5,0
