customer_id,interaction_date,interaction_type,channel,duration_minutes,resolved,satisfaction_score
CUST0000001,2024-10-05,Billing Inquiry,Email,25,0,4
CUST0000001,2024-07-31,General Inquiry,Phone,7,0,4
CUST0000001,2024-01-16,Meter Issue,Mobile App,13,1,4
CUST0000001,2023-09-28,Payment Issue,Phone,5,1,3
CUST0000001,2024-07-08,Meter Issue,Email,13,1,5
CUST0000001,2024-07-20,Billing Inquiry,Mobile App,1,1,3
CUST0000001,2023-04-09,Move In/Out,Phone,4,1,3
CUST0000001,2024-09-09,Outage Report,Mobile App,2,0,4
CUST0000001,2023-11-12,Move In/Out,In-Person,10,1,5
CUST0000001,2024-04-08,Account Change,Phone,1,0,4
CUST0000001,2024-08-22,Rate Plan Change,Phone,33,1,3
CUST0000001,2023-04-17,Outage Report,Email,1,1,4
CUST0000001,2024-10-01,Rate Plan Change,Phone,18,0,3
CUST0000001,2024-03-14,Account Change,In-Person,1,1,4
CUST0000001,2024-05-08,General Inquiry,Mobile App,1,1,1
CUST0000001,2023-04-25,Service Request,Phone,1,0,2
CUST0000001,2024-06-15,Move In/Out,Chat,9,1,4
CUST0000001,2024-05-15,Billing Inquiry,Phone,36,0,3
CUST0000001,2023-02-04,Outage Report,Mobile App,5,1,3
CUST0000001,2024-09-23,General Inquiry,Phone,1,1,5
CUST0000001,2023-01-30,Rate Plan Change,Email,1,1,1
CUST0000001,2023-04-03,Payment Issue,Phone,1,1,3
CUST0000001,2024-07-02,Service Request,Email,1,1,4
CUST0000001,2024-07-20,General Inquiry,Chat,1,1,3
CUST0000001,2024-05-24,Billing Inquiry,Phone,1,1,5
CUST0000001,2023-05-11,Meter Issue,Phone,2,1,3
CUST0000001,2024-06-22,Outage Report,Web Portal,22,1,2
CUST0000002,2024-08-24,Payment Issue,Web Portal,7,0,4
CUST0000002,2024-09-17,Outage Report,Web Portal,10,1,5
CUST0000003,2023-10-08,Move In/Out,Chat,1,0,3
CUST0000003,2023-04-26,Outage Report,Web Portal,10,1,4
CUST0000004,2023-02-11,General Inquiry,Web Portal,15,1,5
CUST0000004,2023-02-26,Outage Report,Email,1,1,5
CUST0000004,2023-04-16,Account Change,Phone,5,1,1
CUST0000004,2024-01-03,General Inquiry,Chat,2,1,5
CUST0000004,2023-04-26,Rate Plan Change,Mobile App,1,0,3
CUST0000004,2023-08-25,Billing Inquiry,Phone,9,1,4
CUST0000004,2023-10-07,General Inquiry,Email,4,1,3
CUST0000004,2023-03-29,Payment Issue,Phone,1,1,4
CUST0000004,2023-02-25,Meter Issue,Mobile App,21,1,3
CUST0000004,2024-06-17,Rate Plan Change,Mobile App,12,1,5
CUST0000004,2023-05-02,Billing Inquiry,Email,24,1,5
CUST0000004,2023-04-01,Meter Issue,Mobile App,3,1,4
CUST0000004,2024-02-08,Move In/Out,Mobile App,2,0,4
CUST0000004,2024-10-04,Meter Issue,Web Portal,3,1,4
CUST0000004,2023-10-17,Move In/Out,Email,3,1,5
CUST0000004,2023-11-25,Meter Issue,Web Portal,7,1,4
CUST0000004,2024-07-19,Meter Issue,Chat,1,1,2
CUST0000004,2023-03-25,Meter Issue,Mobile App,14,0,5
CUST0000004,2024-06-25,Payment Issue,Chat,2,0,5
CUST0000004,2023-07-16,Payment Issue,Mobile App,26,1,4
CUST0000004,2023-10-07,Rate Plan Change,Phone,4,0,4
CUST0000005,2023-05-29,Rate Plan Change,Phone,24,0,3
CUST0000005,2024-03-17,Payment Issue,Web Portal,6,1,4
CUST0000005,2023-05-23,Payment Issue,Email,17,1,5
CUST0000005,2024-03-01,Meter Issue,Web Portal,1,1,3
CUST0000005,2024-09-08,Move In/Out,Mobile App,4,1,4
CUST0000005,2023-07-10,Payment Issue,Chat,1,1,4
CUST0000006,2024-02-07,General Inquiry,Chat,26,1,3
CUST0000007,2024-11-20,Move In/Out,Mobile App,20,1,3
CUST0000007,2024-06-04,Account Change,Email,18,1,2
CUST0000007,2023-11-15,Payment Issue,Phone,2,1,3
CUST0000007,2024-02-10,Move In/Out,Email,1,0,3
CUST0000008,2023-03-15,Rate Plan Change,Web Portal,11,1,4
CUST0000008,2023-03-13,Outage Report,In-Person,21,1,5
CUST0000009,2023-10-01,Outage Report,Phone,6,1,5
CUST0000009,2024-02-16,Move In/Out,Phone,18,1,5
CUST0000009,2023-09-17,Meter Issue,Phone,4,0,1
CUST0000009,2024-12-16,Meter Issue,Phone,4,1,1
CUST0000009,2024-05-20,Move In/Out,Phone,6,1,2
CUST0000010,2024-06-28,Service Request,Chat,25,1,5
CUST0000011,2023-08-18,Outage Report,Chat,2,1,3
CUST0000011,2024-04-21,Move In/Out,Phone,4,1,3
CUST0000012,2024-11-04,Move In/Out,Phone,9,1,5
CUST0000014,2024-11-25,General Inquiry,Phone,11,1,2
CUST0000015,2024-05-12,Service Request,Mobile App,2,0,4
CUST0000015,2023-06-02,Meter Issue,In-Person,12,1,3
CUST0000016,2024-07-12,Move In/Out,Mobile App,6,1,4
CUST0000017,2024-05-04,Outage Report,Chat,1,1,3
CUST0000017,2023-05-27,Meter Issue,Phone,16,0,2
CUST0000017,2024-10-09,Rate Plan Change,In-Person,1,1,4
CUST0000017,2024-04-30,Payment Issue,Email,4,0,2
CUST0000017,2024-05-24,General Inquiry,Email,19,1,2
CUST0000017,2024-04-21,Billing Inquiry,Email,5,1,1
CUST0000017,2024-12-29,Outage Report,Email,17,0,3
CUST0000017,2023-02-07,Meter Issue,Email,10,1,5
CUST0000017,2023-01-25,Meter Issue,Mobile App,31,1,5
CUST0000017,2023-04-16,Service Request,Web Portal,3,1,4
CUST0000017,2024-12-19,Account Change,Phone,1,1,3
CUST0000017,2023-08-08,General Inquiry,Web Portal,5,1,5
CUST0000017,2024-09-20,Outage Report,Chat,12,1,5
CUST0000017,2024-12-17,Move In/Out,Web Portal,10,1,4
CUST0000017,2024-06-28,Outage Report,Mobile App,1,0,3
CUST0000017,2023-09-25,Rate Plan Change,Phone,5,1,4
CUST0000017,2023-07-09,Meter Issue,Web Portal,4,1,4
CUST0000018,2023-05-20,Meter Issue,In-Person,22,1,4
CUST0000018,2023-05-29,Billing Inquiry,Web Portal,4,0,3
CUST0000018,2023-01-27,Account Change,Email,14,0,5
CUST0000018,2024-02-06,General Inquiry,Email,5,1,2
CUST0000018,2023-07-25,Account Change,Phone,2,1,4
CUST0000019,2024-02-03,Payment Issue,Email,5,1,5
CUST0000019,2023-04-25,Service Request,Phone,8,1,5
CUST0000020,2024-02-04,General Inquiry,Email,2,1,2
CUST0000020,2023-10-10,General Inquiry,Phone,1,1,3
CUST0000020,2024-01-12,Service Request,Mobile App,1,1,3
CUST0000020,2023-12-25,General Inquiry,Email,8,1,4
CUST0000020,2023-01-04,Billing Inquiry,Chat,1,1,5
CUST0000020,2023-03-23,Account Change,Phone,27,0,4
CUST0000020,2023-03-07,Payment Issue,Mobile App,30,1,5
CUST0000021,2023-11-29,Service Request,Email,2,1,5
CUST0000021,2024-05-14,Rate Plan Change,Chat,14,0,4
CUST0000021,2024-01-01,General Inquiry,Email,5,1,5
CUST0000021,2024-12-16,Move In/Out,Phone,8,1,3
CUST0000021,2023-02-28,Billing Inquiry,Chat,12,1,2
CUST0000021,2024-06-13,Outage Report,Web Portal,1,1,1
CUST0000021,2023-10-11,Account Change,Email,10,1,3
CUST0000021,2024-10-25,Account Change,Mobile App,1,1,5
CUST0000021,2024-04-24,Outage Report,Web Portal,4,1,5
CUST0000021,2023-03-25,Rate Plan Change,In-Person,10,1,2
CUST0000021,2024-10-08,Meter Issue,Email,1,1,3
CUST0000021,2023-01-22,General Inquiry,Chat,1,1,3
CUST0000022,2023-08-20,Payment Issue,Phone,1,1,2
CUST0000022,2024-03-12,Rate Plan Change,Web Portal,1,1,3
CUST0000022,2023-05-22,Service Request,Chat,2,0,5
CUST0000022,2024-04-30,Outage Report,Phone,3,1,4
CUST0000022,2024-02-13,Account Change,Web Portal,4,1,2
CUST0000024,2023-07-22,Meter Issue,Email,9,1,2
CUST0000024,2023-11-08,Meter Issue,Web Portal,9,1,3
CUST0000024,2024-05-24,Outage Report,In-Person,2,1,2
CUST0000024,2024-06-08,Account Change,Phone,10,1,4
CUST0000027,2024-02-18,Meter Issue,Phone,2,0,3
CUST0000027,2023-01-18,Outage Report,Mobile App,10,1,1
CUST0000027,2024-10-01,Move In/Out,Phone,5,1,2
CUST0000027,2023-08-09,Payment Issue,Email,5,1,4
CUST0000027,2024-07-30,Billing Inquiry,Phone,3,1,4
CUST0000027,2024-10-11,Account Change,Phone,9,1,3
CUST0000027,2023-07-07,Rate Plan Change,Mobile App,5,1,3
CUST0000027,2024-01-16,Service Request,In-Person,19,1,3
CUST0000028,2023-05-18,Account Change,Web Portal,4,1,3
CUST0000028,2024-03-20,Rate Plan Change,Mobile App,1,1,4
CUST0000028,2023-07-10,Rate Plan Change,Web Portal,3,1,5
CUST0000028,2024-12-02,Billing Inquiry,Phone,12,1,1
CUST0000028,2024-09-17,General Inquiry,Phone,9,1,2
CUST0000028,2024-08-11,Rate Plan Change,Chat,17,1,3
