customer_id,payment_date,payment_amount,payment_method,payment_status
CUST0000001,2023-01-08,367.48,Cash,Completed
CUST0000001,2023-02-07,272.4,Credit Card,Completed
CUST0000001,2023-03-09,225.04,Credit Card,Completed
CUST0000001,2023-04-01,155.99,Bank Transfer,Completed
CUST0000001,2023-05-05,223.38,Cash,Reversed
CUST0000001,2023-06-01,348.44,Auto-Debit,Completed
CUST0000001,2023-07-08,213.35,Online,Completed
CUST0000001,2023-09-08,276.31,Online,Completed
CUST0000001,2023-09-30,151.5,Check,Completed
CUST0000001,2023-11-05,169.86,Bank Transfer,Completed
CUST0000001,2023-12-03,92.4,Check,Completed
CUST0000001,2024-01-04,396.19,Cash,Completed
CUST0000001,2024-02-07,70.5,Auto-Debit,Completed
CUST0000001,2024-03-09,365.46,Online,Completed
CUST0000001,2024-04-09,389.16,Auto-Debit,Completed
CUST0000001,2024-04-26,311.46,Auto-Debit,Completed
CUST0000001,2024-06-04,86.81,Cash,Pending
CUST0000001,2024-06-30,392.07,Auto-Debit,Completed
CUST0000001,2024-08-01,281.01,Check,Completed
CUST0000001,2024-09-06,236.26,Auto-Debit,Completed
CUST0000001,2024-10-01,112.08,Credit Card,Completed
CUST0000001,2024-10-31,350.73,Auto-Debit,Completed
CUST0000001,2024-11-27,380.76,Auto-Debit,Completed
CUST0000002,2023-01-07,203.96,Credit Card,Reversed
CUST0000002,2023-02-03,179.39,Auto-Debit,Completed
CUST0000002,2023-03-16,393.85,Bank Transfer,Completed
CUST0000002,2023-04-05,306.73,Auto-Debit,Completed
CUST0000002,2023-06-14,291.37,Auto-Debit,Completed
CUST0000002,2023-07-07,176.58,Auto-Debit,Completed
CUST0000002,2023-07-31,387.0,Online,Reversed
CUST0000002,2023-09-12,328.71,Bank Transfer,Completed
CUST0000002,2023-10-12,329.48,Online,Completed
CUST0000002,2023-10-30,338.45,Auto-Debit,Completed
CUST0000002,2023-11-30,121.32,Auto-Debit,Completed
CUST0000002,2024-01-06,157.34,Auto-Debit,Completed
CUST0000002,2024-02-07,126.2,Credit Card,Completed
CUST0000002,2024-03-02,261.36,Auto-Debit,Reversed
CUST0000002,2024-03-29,153.54,Bank Transfer,Completed
CUST0000002,2024-05-03,102.41,Auto-Debit,Completed
CUST0000002,2024-05-25,358.2,Auto-Debit,Completed
CUST0000002,2024-07-04,352.66,Auto-Debit,Completed
CUST0000002,2024-07-26,327.0,Cash,Completed
CUST0000002,2024-08-28,394.13,Credit Card,Completed
CUST0000002,2024-10-02,356.84,Cash,Reversed
CUST0000002,2024-10-30,365.01,Auto-Debit,Completed
CUST0000002,2024-12-01,280.6,Credit Card,Completed
CUST0000003,2023-01-01,69.13,Check,Reversed
CUST0000003,2023-02-13,211.92,Check,Completed
CUST0000003,2023-03-08,177.62,Credit Card,Completed
CUST0000003,2023-04-12,141.36,Online,Completed
