customer_id,complaint_date,complaint_category,severity,comment,escalated,resolved,resolution_time_days
CUST0000001,2024-02-12,Payment Problem,1,I need to schedule a meter reading appointment for next week.,0,1,6
CUST0000001,2024-09-20,Meter Issue,1,I appreciate the quick response to my query. Everything was sorted out.,0,1,5
CUST0000002,2024-10-26,Account Error,4,I feel like new customers get better deals while loyal customers are ignored.,1,0,0
CUST0000003,2024-10-14,Rate Increase,2,Great experience with customer service today. Very helpful staff.,0,1,0
CUST0000003,2024-07-19,Account Error,4,I am disappointed with how my complaint was handled last time.,1,0,0
CUST0000003,2024-12-08,Account Error,2,I would like to update my contact details and mailing address please.,0,1,4
CUST0000003,2024-04-20,Payment Problem,1,I have been with you for 10 years and the service keeps getting better.,0,1,3
CUST0000003,2024-02-15,Service Outage,5,Absolutely unacceptable. Nobody has called me back in over two weeks about my issue.,0,0,0
CUST0000003,2024-09-26,Meter Issue,3,The power outage last week lasted much longer than what was communicated.,0,1,2
CUST0000003,2024-05-18,Billing Error,4,The technician was supposed to come between 8 and 12 but never showed up.,0,1,0
CUST0000003,2024-10-03,Contract Dispute,3,I am not happy with the service. My issue has been going on for too long.,0,1,0
CUST0000003,2024-08-25,High Bill,1,Can someone explain the charges on my latest statement?,0,1,0
CUST0000003,2024-03-01,Service Outage,1,I would like to know my current energy consumption for this quarter.,0,1,3
CUST0000004,2024-04-06,Disconnection Threat,2,I received a letter about a rate change and want to understand it.,0,1,7
CUST0000004,2024-11-18,Rate Increase,4,Still waiting for the credit that was promised to me three weeks ago.,1,0,0
CUST0000004,2024-06-27,Payment Problem,4,I cannot believe you are charging me for a service that was never delivered.,1,0,0
CUST0000004,2024-10-15,High Bill,2,I need to schedule a meter reading appointment for next week.,0,1,3
CUST0000004,2024-10-10,Connection Issue,4,My meter reading was wrong again and my bill is inflated because of it.,1,1,4
CUST0000006,2024-01-23,Payment Problem,4,I have been a customer for years but the service quality has declined.,0,0,0
CUST0000006,2024-07-19,Contract Dispute,4,I tried the online chat but the bot could not understand my question.,1,0,0
CUST0000007,2024-01-15,Connection Issue,1,The new online portal is much better than the old one. Well done.,0,1,5
CUST0000007,2024-07-05,Poor Customer Service,3,I have been a customer for years but the service quality has declined.,1,1,0
CUST0000008,2024-09-16,Billing Error,4,Still waiting for the credit that was promised to me three weeks ago.,1,1,6
CUST0000008,2024-08-16,High Bill,3,My direct debit was taken twice this month and nobody has fixed it yet.,0,1,0
CUST0000008,2024-06-23,Service Outage,2,I would like to update my contact details and mailing address please.,0,1,1
CUST0000008,2024-04-03,Contract Dispute,3,I would like to update my contact details and mailing address please.,0,1,5
CUST0000008,2024-02-05,Rate Increase,1,The payment plan you arranged has really helped me manage my bills.,0,1,3
CUST0000008,2024-08-02,Meter Issue,4,The bill seems higher than expected and I am not sure why. Quite frustrated.,1,0,0
CUST0000010,2024-08-16,High Bill,1,What is the process for switching to a smart meter?,0,1,9
CUST0000010,2024-04-05,Connection Issue,1,I am moving to a new address and need to transfer my account.,0,1,0
CUST0000010,2024-06-18,Technician No-Show,1,Very happy with the new smart meter installation process. Smooth and easy.,0,1,0
CUST0000010,2024-04-25,Meter Issue,2,I appreciate the quick response to my query. Everything was sorted out.,0,1,2
CUST0000011,2024-09-10,Payment Problem,1,I need to report a street light that is not working near my property.,0,1,1
