customer_id,customer_name,age,gender,region,service_type,contract_type,dwelling_type,account_tenure_months,has_autopay,paperless_billing,family_size,income_bracket,home_ownership,churned
CUST0000001,Customer_1,52,Male,Southeast,Electricity,Small Business,Townhouse,5,0,1,2,Medium,Own,1
CUST0000002,Customer_2,42,Male,Midwest,Gas,Residential,Apartment,48,1,1,2,Medium,Rent,0
CUST0000003,Customer_3,54,Male,Southeast,Electricity,Residential,House,5,1,0,2,Medium,Own,1
CUST0000004,Customer_4,67,Male,Midwest,Gas,Residential,Apartment,65,1,1,1,Low,Own,1
CUST0000005,Customer_5,41,Male,Midwest,Electricity,Residential,House,32,0,1,1,Medium-High,Rent,0
CUST0000006,Customer_6,41,Female,Southeast,Gas,Residential,Apartment,100,0,1,3,Medium-High,Rent,1
CUST0000007,Customer_7,68,Female,Southeast,Electricity,Residential,House,72,0,1,5,Medium,Own,0
CUST0000008,Customer_8,56,Female,Southwest,Multi-Utility,Residential,Apartment,2,1,1,3,Medium-High,Rent,1
CUST0000009,Customer_9,37,Male,Northwest,Dual Fuel,Commercial,Townhouse,5,1,0,3,Low,Own,0
CUST0000010,Customer_10,53,Male,Southwest,Electricity,Commercial,Apartment,33,0,1,4,Medium,Other,1
CUST0000011,Customer_11,38,Male,Midwest,Electricity,Residential,House,26,1,1,2,High,Rent,0
CUST0000012,Customer_12,38,Other,Southwest,Gas,Residential,Apartment,6,1,0,4,Medium-High,Own,0
CUST0000013,Customer_13,48,Female,Midwest,Electricity,Residential,House,4,0,1,2,Low,Own,1
CUST0000014,Customer_14,18,Female,Northeast,Electricity,Residential,Apartment,29,1,0,3,Medium-High,Own,1
CUST0000015,Customer_15,19,Male,Midwest,Electricity,Residential,Apartment,1,1,0,2,Medium-High,Rent,1
CUST0000016,Customer_16,36,Female,Midwest,Dual Fuel,Residential,Mobile Home,74,1,0,6,Medium,Own,1
CUST0000017,Customer_17,29,Male,Southwest,Dual Fuel,Small Business,House,59,1,1,1,Medium-High,Own,1
CUST0000018,Customer_18,49,Female,Northwest,Gas,Residential,Condo,55,0,1,3,Low,Rent,0
CUST0000019,Customer_19,31,Female,Northeast,Gas,Residential,Townhouse,1,1,0,2,Medium-High,Own,0
CUST0000020,Customer_20,23,Other,West,Multi-Utility,Small Business,Mobile Home,1,1,0,3,Medium-High,Own,1
CUST0000021,Customer_21,66,Female,West,Multi-Utility,Small Business,House,28,0,1,3,High,Own,0
CUST0000022,Customer_22,41,Male,Northwest,Multi-Utility,Residential,Apartment,186,1,1,2,Low,Own,0
CUST0000023,Customer_23,46,Female,West,Electricity,Residential,House,15,0,1,2,Medium,Rent,1
CUST0000024,Customer_24,23,Female,Northeast,Electricity,Residential,Apartment,15,1,1,2,High,Rent,0
CUST0000025,Customer_25,36,Male,Southeast,Water,Residential,House,5,1,1,4,Medium,Own,1
CUST0000026,Customer_26,46,Male,Northeast,Gas,Residential,Townhouse,40,1,1,2,Medium-High,Own,1
CUST0000027,Customer_27,27,Male,Southwest,Electricity,Residential,House,37,1,0,4,Low,Own,0
CUST0000028,Customer_28,50,Male,Midwest,Electricity,Residential,Apartment,3,0,0,3,Low,Own,1
CUST0000029,Customer_29,35,Male,Midwest,Dual Fuel,Small Business,Apartment,22,0,1,1,Medium,Own,1
CUST0000030,Customer_30,40,Female,Southwest,Dual Fuel,Small Business,Mobile Home,39,1,1,2,Medium-High,Own,1
CUST0000031,Customer_31,35,Male,Southwest,Electricity,Residential,Condo,24,1,1,5,Low,Own,0
CUST0000032,Customer_32,72,Male,Midwest,Dual Fuel,Residential,House,40,0,0,3,Medium,Rent,0
CUST0000033,Customer_33,44,Female,Northwest,Gas,Residential,House,60,1,0,2,Low,Own,1
CUST0000034,Customer_34,29,Female,Southeast,Dual Fuel,Residential,House,41,0,1,4,Medium,Rent,1
CUST0000035,Customer_35,57,Female,Southeast,Gas,Residential,Townhouse,34,1,1,4,Medium,Own,1
CUST0000036,Customer_36,26,Male,Southeast,Electricity,Commercial,Condo,69,1,1,2,Medium,Rent,0
CUST0000037,Customer_37,48,Female,Southwest,Gas,Small Business,Condo,83,1,0,3,Medium,Rent,1
CUST0000038,Customer_38,18,Female,Midwest,Gas,Commercial,House,17,1,1,2,Medium,Rent,0
CUST0000039,Customer_39,25,Male,Northwest,Gas,Small Business,Townhouse,6,0,1,1,Medium-High,Own,0
CUST0000040,Customer_40,47,Male,Midwest,Electricity,Prepaid,Condo,61,1,1,2,Low,Own,0
CUST0000041,Customer_41,56,Female,Midwest,Multi-Utility,Small Business,Mobile Home,8,1,0,4,Medium,Rent,0
CUST0000042,Customer_42,47,Female,Northwest,Electricity,Prepaid,Apartment,95,1,1,3,Medium,Own,0
CUST0000043,Customer_43,43,Other,Northeast,Electricity,Residential,House,1,1,1,3,Medium,Own,1
CUST0000044,Customer_44,40,Female,Northwest,Gas,Residential,Apartment,91,0,1,2,Medium-High,Rent,1
CUST0000045,Customer_45,22,Female,Northeast,Gas,Small Business,House,32,1,1,3,High,Rent,0
CUST0000046,Customer_46,34,Female,West,Gas,Prepaid,Condo,53,1,0,2,Medium,Rent,0
CUST0000047,Customer_47,38,Male,Northeast,Water,Residential,Condo,18,1,0,3,Medium-High,Own,0
CUST0000048,Customer_48,60,Male,Southeast,Gas,Residential,House,172,1,1,1,Medium-High,Own,1
CUST0000049,Customer_49,50,Male,Southeast,Gas,Residential,House,9,1,1,4,Medium-High,Own,0
CUST0000050,Customer_50,18,Female,Northwest,Water,Small Business,House,11,0,1,2,High,Rent,0
CUST0000051,Customer_51,49,Female,Southeast,Electricity,Residential,Mobile Home,1,1,0,3,Medium,Own,1
CUST0000052,Customer_52,39,Female,Southeast,Gas,Small Business,House,101,0,0,3,High,Own,0
CUST0000053,Customer_53,34,Male,West,Dual Fuel,Prepaid,House,21,1,0,4,High,Rent,1
CUST0000054,Customer_54,54,Female,Southeast,Electricity,Commercial,House,40,0,0,4,Medium,Own,1
CUST0000055,Customer_55,60,Male,Southwest,Gas,Residential,Apartment,41,0,1,2,Medium,Rent,0
CUST0000056,Customer_56,58,Male,Southwest,Multi-Utility,Residential,Condo,74,0,1,4,Medium-High,Own,0
CUST0000057,Customer_57,32,Female,Southwest,Electricity,Residential,Townhouse,39,0,0,2,Medium,Own,0
CUST0000058,Customer_58,40,Female,Northeast,Gas,Residential,House,29,0,1,1,Medium-High,Own,1
CUST0000059,Customer_59,49,Other,Northwest,Multi-Utility,Residential,Condo,44,1,1,5,Medium,Rent,0
CUST0000060,Customer_60,59,Male,Northwest,Electricity,Small Business,Apartment,50,0,0,2,Low,Own,1
CUST0000061,Customer_61,37,Female,Midwest,Electricity,Residential,Mobile Home,7,1,1,2,High,Rent,1
CUST0000062,Customer_62,42,Male,West,Dual Fuel,Commercial,House,4,0,0,1,High,Rent,1
CUST0000063,Customer_63,28,Male,Southwest,Dual Fuel,Commercial,House,2,0,1,3,Low,Rent,1
CUST0000064,Customer_64,27,Female,Southwest,Gas,Residential,Apartment,16,1,0,5,Medium-High,Rent,0
CUST0000065,Customer_65,57,Female,Southeast,Gas,Prepaid,House,24,0,1,2,Medium,Own,1
CUST0000066,Customer_66,65,Female,Southwest,Dual Fuel,Small Business,House,34,0,1,3,Medium-High,Own,0
CUST0000067,Customer_67,43,Male,Southeast,Water,Residential,Condo,114,1,0,3,Medium,Own,1
CUST0000068,Customer_68,60,Female,Southeast,Electricity,Residential,Condo,14,0,0,2,Medium-High,Other,0
CUST0000069,Customer_69,50,Male,Midwest,Electricity,Residential,Apartment,51,1,0,3,Medium,Rent,1
