customer_id,interaction_date,interaction_type,channel,duration_minutes,resolved,satisfaction_score
CUST0000001,2024-04-27,Feedback,Phone,1,1,4
CUST0000002,2024-03-23,General Inquiry,Phone,1,1,4
CUST0000002,2024-11-03,General Inquiry,Phone,6,1,4
CUST0000002,2024-12-10,Technical Support,Phone,10,0,3
CUST0000003,2024-09-08,Service Request,Phone,11,0,3
CUST0000003,2024-04-12,General Inquiry,Web Chat,5,1,4
CUST0000003,2024-10-09,Complaint,Web Chat,3,1,3
CUST0000003,2024-01-16,Billing Query,Mobile App,0,1,4
CUST0000003,2024-01-11,Feedback,Phone,11,1,3
CUST0000003,2024-04-05,Account Change,Email,0,1,4
CUST0000003,2024-11-18,Account Change,Email,0,1,3
CUST0000003,2024-10-17,Service Request,Mobile App,0,1,4
CUST0000003,2024-10-14,Account Change,Web Chat,4,1,1
CUST0000003,2024-01-24,Billing Query,Phone,13,1,5
CUST0000003,2024-06-24,Technical Support,SMS,0,1,3
CUST0000003,2024-11-01,Service Request,Web Chat,2,1,4
CUST0000003,2024-03-01,General Inquiry,Email,0,1,4
CUST0000003,2024-03-23,Complaint,In-Person,7,1,2
CUST0000003,2024-08-21,Billing Query,Phone,12,1,4
CUST0000004,2024-01-24,Escalation,Mobile App,0,1,5
CUST0000004,2024-12-07,Feedback,Web Chat,9,1,5
CUST0000004,2024-01-03,Complaint,Phone,19,1,1
CUST0000004,2024-06-03,General Inquiry,Phone,11,1,4
CUST0000005,2024-05-26,Billing Query,Email,0,1,5
CUST0000005,2024-11-04,General Inquiry,Web Chat,5,1,4
CUST0000005,2024-06-28,General Inquiry,Phone,12,1,3
CUST0000005,2024-09-22,Billing Query,SMS,0,1,3
CUST0000005,2024-09-17,Service Request,Phone,9,1,5
CUST0000006,2024-01-20,Complaint,Web Chat,17,1,3
CUST0000006,2024-10-18,Service Request,Web Chat,5,1,2
CUST0000006,2024-07-02,Billing Query,Mobile App,0,1,5
CUST0000006,2024-03-06,Technical Support,Web Chat,5,1,3
CUST0000006,2024-07-14,Account Change,Web Chat,1,1,5
CUST0000007,2024-02-07,Technical Support,Phone,1,0,2
CUST0000008,2024-02-27,General Inquiry,Phone,2,1,4
CUST0000008,2024-11-25,Escalation,SMS,0,1,4
CUST0000008,2024-03-05,General Inquiry,In-Person,21,1,5
CUST0000009,2024-07-11,Account Change,Phone,2,0,2
CUST0000009,2024-11-22,General Inquiry,Web Chat,2,1,4
CUST0000009,2024-09-07,General Inquiry,Phone,13,1,2
CUST0000010,2024-05-27,Technical Support,Web Chat,5,1,2
CUST0000010,2024-05-09,General Inquiry,Phone,2,1,4
CUST0000010,2024-04-01,General Inquiry,In-Person,1,1,4
CUST0000011,2024-08-12,Billing Query,Web Chat,5,1,5
CUST0000011,2024-02-25,Service Request,In-Person,7,1,4
CUST0000011,2024-08-27,Feedback,Mobile App,0,1,3
CUST0000011,2024-09-01,Billing Query,Mobile App,0,1,3
CUST0000011,2024-03-17,Technical Support,Phone,5,1,4
CUST0000012,2024-06-06,Account Change,Web Chat,10,1,5
CUST0000012,2024-05-03,Complaint,In-Person,8,1,4
CUST0000012,2024-11-20,General Inquiry,Phone,2,1,4
CUST0000012,2024-12-23,General Inquiry,SMS,0,0,5
CUST0000013,2024-10-15,Service Request,Phone,2,1,1
CUST0000013,2024-12-08,Technical Support,SMS,0,1,1
CUST0000014,2024-09-27,Complaint,Phone,18,1,3
CUST0000014,2024-09-21,Billing Query,Email,0,1,3
CUST0000015,2024-02-08,Billing Query,Web Chat,1,1,4
CUST0000015,2024-03-28,Account Change,Mobile App,0,1,3
CUST0000015,2024-02-04,Complaint,SMS,0,0,4
CUST0000015,2024-10-02,General Inquiry,In-Person,8,1,4
CUST0000015,2024-10-07,Account Change,Phone,10,1,1
CUST0000016,2024-08-22,Account Change,Phone,9,1,5
CUST0000016,2024-06-17,General Inquiry,Mobile App,0,1,5
CUST0000017,2024-10-24,Service Request,Email,0,0,1
CUST0000017,2024-10-12,Complaint,SMS,0,1,4
CUST0000017,2024-02-11,Account Change,Web Chat,2,1,5
CUST0000017,2024-06-10,Feedback,Phone,17,1,4
CUST0000017,2024-03-24,Technical Support,Phone,2,1,5
CUST0000017,2024-06-19,Complaint,Phone,13,1,5
CUST0000018,2024-11-13,Feedback,Phone,1,1,3
CUST0000018,2024-01-21,Service Request,SMS,0,0,5
