customer_id,customer_name,age,gender,region,service_type,contract_type,dwelling_type,account_tenure_months,has_autopay,paperless_billing,family_size,income_bracket,home_ownership,churned,complaint_count,avg_complaint_severity,max_complaint_severity,avg_resolution_time_days,escalation_count,unresolved_complaints,avg_sentiment_score,min_sentiment_score,max_sentiment_score,sentiment_std,avg_sentiment_pos,avg_sentiment_neg,negative_sentiment_ratio,positive_sentiment_ratio,most_common_complaint_category,escalation_rate,complaint_rate_per_month,total_interactions,avg_satisfaction_score,min_satisfaction_score,avg_interaction_duration,unresolved_count,channel_phone_ratio,channel_email_ratio,channel_web_chat_ratio,unresolved_ratio,interactions_per_month
CUST0000001,Customer_1,52,Male,Southeast,Electricity,Small Business,Townhouse,5,0,1,2,Medium,Own,1,2.0,1.0,1.0,5.5,0.0,0.0,0.20095,0.0,0.4019,0.28418621535887345,0.1065,0.0,0.0,0.5,Meter Issue,0.0,0.4,1,4.0,4,1.0,0,1.0,0.0,0.0,0.0,0.2
CUST0000002,Customer_2,42,Male,Midwest,Gas,Residential,Apartment,48,1,1,2,Medium,Rent,0,1.0,4.0,4.0,0.0,1.0,1.0,0.7351,0.7351,0.7351,0.0,0.452,0.122,0.0,1.0,Account Error,1.0,0.020833333333333332,3,3.6666666666666665,3,5.666666666666667,1,1.0,0.0,0.0,0.3333333333333333,0.0625
CUST0000003,Customer_3,54,Male,Southeast,Electricity,Residential,House,5,1,0,2,Medium,Own,1,10.0,2.6,5.0,1.2,1.0,2.0,0.049550000000000004,-0.6486,0.8016,0.5197295199321362,0.13879999999999998,0.0984,0.4,0.4,Account Error,0.1,2.0,15,3.4,1,4.533333333333333,1,0.26666666666666666,0.2,0.26666666666666666,0.06666666666666667,3.0
CUST0000004,Customer_4,67,Male,Midwest,Gas,Residential,Apartment,65,1,1,1,Low,Own,1,5.0,3.2,4.0,2.8,3.0,2.0,0.04508000000000001,-0.4767,0.6249,0.3916445161112307,0.0886,0.0386,0.2,0.4,Connection Issue,0.6,0.07692307692307693,4,3.75,1,9.75,0,0.5,0.0,0.25,0.0,0.06153846153846154
CUST0000005,Customer_5,41,Male,Midwest,Electricity,Residential,House,32,0,1,1,Medium-High,Rent,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,5,4.0,3,5.2,0,0.4,0.2,0.2,0.0,0.15625
CUST0000006,Customer_6,41,Female,Southeast,Gas,Residential,Apartment,100,0,1,3,Medium-High,Rent,1,2.0,4.0,4.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Contract Dispute,0.5,0.02,5,3.6,2,5.6,0,0.0,0.0,0.8,0.0,0.05
CUST0000007,Customer_7,68,Female,Southeast,Electricity,Residential,House,72,0,1,5,Medium,Own,0,2.0,2.0,3.0,2.5,1.0,0.0,0.3062,0.0,0.6124,0.43303219279864175,0.156,0.0,0.0,0.5,Connection Issue,0.5,0.027777777777777776,1,2.0,2,1.0,1,1.0,0.0,0.0,1.0,0.013888888888888888
CUST0000008,Customer_8,56,Female,Southwest,Multi-Utility,Residential,Apartment,2,1,1,3,Medium-High,Rent,1,6.0,2.8333333333333335,4.0,2.5,2.0,1.0,0.18506666666666663,-0.6863,0.6249,0.5181828428910655,0.1688333333333333,0.05666666666666667,0.16666666666666666,0.5,Billing Error,0.3333333333333333,3.0,3,4.333333333333333,4,7.666666666666667,0,0.3333333333333333,0.0,0.0,0.0,1.5
CUST0000009,Customer_9,37,Male,Northwest,Dual Fuel,Commercial,Townhouse,5,1,0,3,Low,Own,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,3,2.6666666666666665,2,5.666666666666667,1,0.6666666666666666,0.0,0.3333333333333333,0.3333333333333333,0.6
CUST0000010,Customer_10,53,Male,Southwest,Electricity,Commercial,Apartment,33,0,1,4,Medium,Other,1,4.0,1.25,2.0,2.75,0.0,0.0,0.4165,0.0,0.8622,0.35239516644433894,0.24525,0.0,0.0,0.75,Connection Issue,0.0,0.12121212121212122,3,3.3333333333333335,2,2.6666666666666665,0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.09090909090909091
