cust_id,contact_date,contact_channel,sat_score,call_duration_mins,issue_resolved
C00001,2023-02-08,Phone,3,57,0
C00001,2023-09-21,Phone,5,56,1
C00002,2024-11-02,Phone,2,24,1
C00002,2023-08-17,Web Chat,1,5,1
C00003,2024-09-08,Phone,3,54,1
C00003,2024-10-19,Phone,5,21,1
C00003,2024-04-08,Web Chat,3,18,1
C00004,2023-01-06,Phone,3,42,1
C00004,2023-08-06,Phone,4,45,1
C00004,2023-01-20,Web Chat,4,12,1
C00005,2024-11-03,Email,5,16,1
C00006,2023-04-16,Phone,4,16,1
C00006,2024-12-14,Phone,3,56,1
C00007,2023-08-12,Web Chat,2,6,1
C00007,2023-09-23,Phone,4,24,1
C00008,2024-01-19,Web Chat,3,15,1
C00008,2024-12-10,Web Chat,3,13,1
C00009,2023-03-04,Email,5,5,1
C00010,2023-08-01,Email,2,9,1
C00010,2024-03-25,Web Chat,5,12,1
C00010,2024-01-04,Email,3,3,1
C00011,2024-08-02,Phone,5,22,1
C00011,2024-10-02,Email,3,4,1
C00011,2024-06-14,Phone,5,39,1
C00011,2024-08-19,Phone,3,43,1
C00012,2024-11-27,Web Chat,3,8,1
C00013,2024-09-15,Phone,4,59,1
C00014,2023-10-28,Web Chat,4,16,1
C00014,2024-09-03,Web Chat,4,11,1
C00015,2023-09-08,Phone,2,18,1
C00015,2024-05-11,Email,4,18,1
C00015,2023-09-03,Phone,3,39,0
C00015,2024-03-08,Phone,2,30,1
C00016,2023-09-16,Phone,4,59,1
C00017,2023-04-09,Email,5,4,1
C00017,2023-07-03,Phone,3,18,1
C00017,2023-04-16,Email,4,8,1
C00018,2024-06-11,Email,4,5,1
C00018,2024-02-06,Web Chat,4,15,1
C00018,2024-01-26,Email,4,18,1
C00019,2024-08-09,Email,5,11,1
C00019,2023-01-03,Web Chat,2,15,0
C00020,2024-08-01,Email,3,13,1
C00020,2023-05-01,Phone,1,58,1
C00021,2024-08-22,Phone,4,48,0
C00021,2023-02-06,Email,4,10,0
C00021,2023-10-02,Phone,3,20,1
C00021,2024-10-24,Email,5,13,1
C00021,2024-09-19,Phone,2,48,1
C00022,2023-09-05,Web Chat,5,17,1
C00022,2023-04-14,Phone,2,42,1
C00023,2024-11-05,Email,3,11,0
C00023,2023-12-23,Phone,2,47,0
C00023,2023-04-13,Web Chat,3,3,1
C00023,2023-10-02,Email,3,17,1
C00023,2023-10-03,Web Chat,3,10,1
C00024,2024-03-26,Web Chat,3,11,1
C00024,2023-01-17,Web Chat,3,5,0
C00024,2024-04-01,Phone,3,48,0
C00025,2023-11-04,Phone,4,58,1
C00025,2023-10-21,Phone,5,30,0
C00026,2023-09-04,Phone,4,20,0
C00027,2024-07-02,Email,4,18,0
C00028,2023-09-27,Phone,3,35,1
C00028,2023-11-13,Phone,2,30,1
C00028,2023-12-08,Email,4,15,1
C00029,2024-08-14,Phone,3,56,1
C00029,2023-09-08,Phone,4,19,1
C00029,2024-10-25,Email,2,12,1
C00029,2024-02-02,Email,3,6,1
C00029,2023-01-13,Email,1,5,1
C00029,2023-01-21,Web Chat,2,3,0
C00029,2023-05-21,Email,2,6,1
C00030,2023-06-17,Phone,1,56,1
C00030,2023-01-01,Web Chat,5,3,1
C00031,2023-01-01,Web Chat,4,7,1
C00032,2023-10-01,Phone,3,16,1
C00033,2023-10-23,Email,4,19,1
C00034,2024-02-15,Email,4,15,1
C00035,2023-05-09,Email,4,10,1
C00035,2023-07-27,Email,3,3,1
C00035,2023-10-03,Phone,2,57,1
C00035,2023-01-21,Email,2,13,1
C00035,2024-05-18,Web Chat,5,7,1
C00035,2023-10-07,Web Chat,1,15,1
C00036,2024-06-03,Email,3,17,1
C00036,2023-08-17,Web Chat,5,10,1
C00037,2024-11-10,Web Chat,4,14,1
C00038,2024-08-19,Web Chat,5,3,1
C00039,2023-08-13,Phone,5,46,0
C00039,2024-02-05,Email,5,14,1
C00040,2024-12-24,Email,5,6,1
C00040,2023-01-09,Web Chat,2,13,1
C00041,2024-12-09,Web Chat,2,13,0
C00041,2024-06-08,Phone,3,31,1
C00042,2023-06-11,Phone,2,17,1
C00042,2024-10-25,Phone,4,31,1
C00042,2024-09-06,Web Chat,2,3,1
C00043,2024-06-03,Phone,4,20,1
C00043,2023-03-01,Phone,2,30,1
C00044,2023-11-20,Phone,2,29,1
C00044,2024-07-27,Web Chat,3,16,0
C00045,2023-02-04,Phone,3,42,1
C00045,2024-05-26,Web Chat,5,5,1
C00045,2024-03-10,Phone,4,42,1
C00046,2024-02-02,Web Chat,5,6,1
C00047,2024-09-10,Email,4,7,1
C00047,2024-03-08,Email,3,7,0
C00047,2024-10-18,Web Chat,5,6,1
C00047,2024-10-13,Phone,4,45,1
C00047,2024-03-27,Phone,5,27,1
C00047,2024-11-18,Phone,5,40,1
C00048,2024-11-04,Email,5,13,0
C00048,2023-07-08,Phone,1,48,1
C00049,2024-04-25,Web Chat,3,4,1
C00049,2024-02-23,Web Chat,4,9,0
C00050,2023-05-03,Email,3,13,1
C00051,2024-01-19,Email,5,14,1
C00051,2023-04-17,Web Chat,4,16,1
C00051,2024-03-19,Email,2,4,1
C00051,2023-11-01,Web Chat,4,19,1
C00051,2023-06-04,Web Chat,5,17,1
C00052,2023-03-14,Web Chat,5,13,1
C00052,2024-01-13,Web Chat,3,12,1
C00052,2023-06-03,Web Chat,2,18,1
C00053,2023-06-19,Email,4,6,0
C00053,2024-06-01,Phone,5,47,1
C00053,2024-07-03,Email,3,11,0
C00053,2023-12-06,Email,3,16,1
C00054,2024-02-23,Email,4,5,1
C00054,2023-01-16,Web Chat,4,8,1
C00054,2023-05-03,Phone,5,56,1
C00054,2024-12-22,Web Chat,5,6,1
C00055,2024-05-06,Web Chat,4,11,1
C00055,2024-07-06,Phone,4,22,1
C00055,2024-10-05,Web Chat,2,5,1
C00056,2024-09-08,Email,3,4,0
C00056,2023-02-19,Web Chat,5,19,1
C00057,2024-09-24,Phone,3,20,1
C00057,2023-06-27,Phone,5,44,1
C00057,2024-08-06,Phone,5,28,1
C00058,2023-05-22,Phone,3,15,1
C00058,2024-04-04,Phone,2,37,1
C00058,2023-05-07,Web Chat,4,7,1
C00058,2024-06-11,Phone,1,35,1
C00059,2024-10-08,Phone,3,20,1
C00059,2024-12-28,Phone,4,15,1
C00060,2024-12-06,Email,5,3,1
C00060,2024-06-05,Email,3,11,1
C00061,2023-09-16,Phone,5,56,1
C00061,2024-06-26,Web Chat,5,5,1
C00062,2024-05-04,Email,3,6,1
C00062,2023-06-27,Email,4,19,0
C00062,2024-07-25,Email,4,7,1
C00062,2023-09-23,Phone,3,42,0
C00062,2023-12-10,Web Chat,3,4,1
C00062,2024-08-26,Web Chat,4,15,1
C00063,2024-02-07,Email,3,14,1
C00064,2024-03-24,Email,5,13,1
C00064,2023-05-05,Phone,3,59,0
C00065,2024-04-14,Email,5,16,0
C00065,2024-12-05,Web Chat,4,4,1
C00065,2024-06-03,Email,5,11,1
C00066,2024-07-23,Web Chat,5,12,1
C00066,2023-09-22,Email,4,12,1
C00066,2024-01-25,Phone,5,45,1
C00066,2024-04-10,Web Chat,4,19,1
C00066,2024-04-05,Email,5,5,1
C00066,2024-08-10,Web Chat,5,13,1
C00066,2023-12-15,Web Chat,4,18,1
C00066,2024-04-22,Email,2,19,1
C00067,2024-08-05,Email,5,5,1
C00067,2024-04-17,Phone,3,59,1
C00067,2024-08-12,Email,5,5,1
C00068,2024-10-21,Email,3,7,0
C00069,2023-10-03,Email,4,8,1
C00069,2024-11-21,Web Chat,5,18,0
C00069,2024-04-21,Email,5,11,1
C00070,2024-05-05,Web Chat,3,6,1
C00070,2024-08-11,Phone,4,23,1
C00070,2023-06-16,Web Chat,2,6,0
C00070,2024-04-26,Email,4,7,1
C00071,2024-02-20,Web Chat,5,14,1
C00071,2024-04-01,Email,4,17,1
C00071,2023-09-20,Phone,3,46,1
C00071,2024-01-05,Email,4,18,1
C00071,2023-01-18,Email,2,6,1
C00072,2023-12-15,Web Chat,5,14,1
C00072,2023-09-20,Phone,4,23,1
C00072,2023-03-05,Web Chat,4,7,1
C00072,2023-11-05,Phone,2,24,1
C00072,2024-01-08,Phone,3,51,1
C00073,2024-11-21,Phone,5,44,1
C00073,2023-06-01,Email,1,3,1
C00073,2023-07-12,Phone,3,26,1
C00073,2023-07-10,Phone,5,33,1
C00074,2023-03-03,Web Chat,3,14,1
C00074,2023-05-19,Web Chat,4,18,1
C00074,2024-10-04,Email,4,17,1
C00075,2023-11-02,Phone,5,55,0
C00075,2024-02-09,Email,5,19,1
C00075,2023-10-12,Email,5,3,0
C00075,2023-06-18,Email,4,11,1
C00076,2024-03-15,Email,3,15,0
C00077,2023-10-08,Web Chat,2,5,0
C00078,2024-09-12,Phone,4,25,1
C00078,2023-08-02,Web Chat,1,10,1
C00078,2023-12-19,Phone,2,42,1
C00079,2024-06-21,Email,4,14,1
C00079,2023-04-03,Web Chat,3,17,1
C00080,2024-09-04,Phone,3,42,1
C00080,2023-06-16,Phone,3,32,1
C00081,2023-05-24,Web Chat,3,19,1
C00081,2024-10-20,Phone,3,23,1
C00081,2024-05-18,Phone,4,27,1
C00081,2023-12-02,Phone,4,44,0
C00082,2023-12-07,Web Chat,4,11,1
C00082,2023-06-06,Web Chat,2,9,1
C00082,2023-08-01,Email,4,17,1
C00083,2024-12-27,Web Chat,3,13,0
C00083,2023-05-07,Web Chat,3,7,1
C00083,2023-04-05,Phone,2,36,1
C00084,2023-06-07,Web Chat,4,17,1
C00084,2023-08-05,Web Chat,5,5,0
C00085,2023-09-04,Web Chat,2,8,0
C00085,2023-10-07,Phone,5,49,1
C00085,2024-10-25,Web Chat,3,16,1
C00086,2024-07-01,Email,4,3,1
C00086,2024-07-11,Web Chat,5,9,1
C00086,2024-08-10,Phone,3,52,1
C00087,2024-08-04,Web Chat,3,19,1
C00087,2024-07-09,Web Chat,3,7,1
C00087,2024-05-20,Phone,4,18,1
C00088,2023-09-09,Email,3,7,1
C00088,2024-04-24,Phone,3,53,1
C00088,2024-10-22,Phone,5,18,1
C00088,2023-12-22,Web Chat,3,19,1
C00089,2023-02-09,Phone,5,50,1
C00089,2023-08-07,Web Chat,5,14,0
C00089,2023-03-14,Web Chat,4,9,1
C00090,2024-01-04,Web Chat,3,18,1
C00090,2023-07-23,Phone,3,53,0
C00091,2023-07-13,Web Chat,3,12,0
C00091,2024-02-15,Phone,2,29,0
C00091,2023-02-22,Web Chat,5,6,1
C00091,2023-01-19,Web Chat,2,14,1
C00092,2024-09-01,Email,1,3,1
C00092,2024-09-12,Phone,5,17,1
