customer_id,channel,satisfaction_score
C00001,Web Chat,3
C00001,Web Chat,3
C00001,Web Chat,3
C00001,Email,2
C00002,Web Chat,4
C00003,Phone,3
C00003,Email,4
C00004,Web Chat,1
C00004,Web Chat,1
C00004,Web Chat,2
C00004,Email,1
C00004,Phone,2
C00004,Web Chat,1
C00005,Web Chat,3
C00005,Web Chat,1
C00005,Email,2
C00005,Email,3
C00005,Phone,2
C00006,Email,3
C00006,Web Chat,3
C00006,Web Chat,4
C00006,Web Chat,5
C00007,Phone,2
C00007,Phone,2
C00007,Email,2
C00007,Email,1
C00007,Email,3
C00007,Phone,1
C00008,Phone,3
C00008,Phone,4
C00009,Web Chat,5
C00010,Phone,3
C00010,Web Chat,3
C00011,Email,4
C00011,Email,4
C00011,Phone,3
C00011,Phone,5
C00011,Phone,3
C00012,Phone,2
C00012,Web Chat,1
C00012,Web Chat,3
C00012,Web Chat,2
C00012,Web Chat,1
C00012,Web Chat,1
C00012,Web Chat,2
C00012,Phone,2
C00013,Web Chat,3
C00013,Phone,5
C00013,Email,5
C00014,Web Chat,4
C00015,Email,3
C00015,Web Chat,3
C00016,Email,5
C00016,Phone,3
C00016,Email,3
C00016,Phone,3
C00017,Phone,5
C00017,Web Chat,4
C00018,Phone,4
C00019,Phone,3
C00019,Web Chat,5
C00019,Email,3
C00019,Email,4
C00019,Web Chat,3
C00020,Web Chat,5
C00021,Phone,3
C00021,Phone,3
C00021,Phone,3
C00022,Web Chat,3
C00022,Web Chat,5
C00023,Web Chat,2
C00023,Email,3
C00023,Email,2
C00023,Email,3
C00023,Phone,3
C00023,Web Chat,2
C00023,Phone,3
C00023,Email,1
C00023,Email,2
C00024,Web Chat,4
C00025,Email,3
C00026,Web Chat,2
C00026,Web Chat,1
C00026,Web Chat,3
C00026,Email,3
C00026,Phone,1
C00026,Web Chat,2
C00026,Web Chat,1
C00026,Web Chat,2
C00026,Phone,3
C00027,Phone,5
C00027,Phone,3
C00027,Email,5
C00027,Web Chat,4
C00027,Web Chat,3
C00028,Web Chat,5
C00028,Web Chat,5
C00029,Email,3
C00029,Phone,3
C00030,Email,5
C00030,Web Chat,5
C00030,Web Chat,4
C00030,Email,3
C00031,Phone,3
C00031,Email,4
C00031,Web Chat,5
C00031,Phone,5
C00031,Email,5
C00032,Web Chat,3
C00032,Phone,4
C00032,Web Chat,5
C00032,Phone,3
C00032,Web Chat,4
C00033,Web Chat,3
C00033,Email,3
C00033,Web Chat,2
C00033,Web Chat,1
C00033,Email,2
C00033,Email,1
C00033,Email,3
C00034,Email,4
C00034,Web Chat,3
C00034,Web Chat,4
C00034,Web Chat,5
C00034,Web Chat,5
C00035,Email,2
C00035,Email,2
C00035,Phone,2
C00035,Web Chat,1
C00035,Email,3
C00035,Web Chat,2
C00036,Email,3
C00036,Web Chat,4
C00036,Email,3
C00036,Web Chat,3
C00036,Email,4
C00037,Web Chat,3
C00037,Email,5
C00037,Phone,5
C00037,Web Chat,4
C00038,Web Chat,4
C00038,Phone,3
C00038,Phone,4
C00038,Web Chat,3
C00038,Email,4
C00039,Phone,5
C00039,Phone,3
C00039,Email,3
C00039,Phone,5
C00040,Phone,5
C00041,Web Chat,5
C00041,Phone,4
C00041,Web Chat,4
C00041,Phone,3
C00042,Email,1
C00042,Phone,1
C00042,Email,3
C00042,Email,2
C00042,Phone,1
C00042,Phone,1
C00042,Phone,2
C00042,Email,2
C00043,Email,2
C00043,Email,2
C00043,Email,3
C00043,Web Chat,1
C00044,Email,4
C00044,Web Chat,4
C00044,Web Chat,5
C00045,Email,4
C00046,Email,5
C00046,Email,5
C00046,Email,3
C00046,Web Chat,5
C00046,Web Chat,3
C00047,Email,1
C00047,Email,1
C00047,Email,1
C00047,Email,1
C00048,Email,4
