customer_id,interaction_date,channel,interaction_type,satisfaction_score,duration_minutes,resolved
C00188,2023-01-01,Phone,Billing Inquiry,2,24,1
C00353,2023-01-01,In-Person,Technical Support,3,29,0
C00266,2023-01-01,Chat,Service Request,5,41,1
C00019,2023-01-01,Chat,Service Request,2,25,0
C00105,2023-01-01,Chat,Service Request,4,25,1
C00361,2023-01-01,App,Complaint,2,25,1
C00214,2023-01-02,Phone,Billing Inquiry,1,33,0
C00092,2023-01-02,Phone,Complaint,5,17,0
C00017,2023-01-02,Email,Technical Support,1,3,0
C00483,2023-01-02,App,Billing Inquiry,2,10,0
C00307,2023-01-02,In-Person,General Inquiry,4,37,1
C00208,2023-01-02,Phone,Billing Inquiry,1,19,0
C00157,2023-01-03,Chat,General Inquiry,1,16,0
C00217,2023-01-03,Email,Service Request,5,26,0
C00187,2023-01-03,In-Person,Technical Support,2,29,0
C00435,2023-01-03,Email,Billing Inquiry,5,41,0
C00338,2023-01-03,App,Technical Support,3,4,1
C00274,2023-01-03,Phone,Technical Support,3,21,1
C00353,2023-01-04,App,Service Request,3,23,1
C00189,2023-01-04,Chat,Service Request,4,43,1
C00334,2023-01-04,Phone,Technical Support,1,41,0
C00150,2023-01-04,Email,Service Request,2,3,0
C00067,2023-01-04,App,Technical Support,5,28,0
C00318,2023-01-04,App,Service Request,2,25,0
C00098,2023-01-05,In-Person,General Inquiry,2,11,0
C00030,2023-01-05,In-Person,Technical Support,2,37,0
C00030,2023-01-05,In-Person,Service Request,3,29,0
C00247,2023-01-05,App,Technical Support,2,10,0
C00152,2023-01-05,Email,General Inquiry,1,8,1
C00498,2023-01-05,In-Person,Service Request,5,37,0
C00198,2023-01-06,App,Technical Support,3,42,1
C00301,2023-01-06,Chat,General Inquiry,3,24,0
C00365,2023-01-06,Chat,General Inquiry,5,39,1
C00221,2023-01-06,In-Person,Billing Inquiry,1,10,1
C00352,2023-01-06,Email,Technical Support,2,20,0
C00207,2023-01-06,App,Technical Support,4,31,0
C00383,2023-01-07,In-Person,Technical Support,4,31,0
C00227,2023-01-07,Email,Technical Support,2,25,1
C00478,2023-01-07,Email,Billing Inquiry,3,14,0
C00348,2023-01-07,Phone,Service Request,5,28,1
C00457,2023-01-07,Phone,Billing Inquiry,2,3,0
C00483,2023-01-07,In-Person,Billing Inquiry,1,13,1
C00477,2023-01-08,App,Service Request,4,17,1
C00475,2023-01-08,Chat,Billing Inquiry,3,33,1
C00181,2023-01-08,Phone,Service Request,2,43,1
C00333,2023-01-08,Chat,Complaint,1,15,1
C00055,2023-01-08,Email,General Inquiry,2,22,1
C00210,2023-01-08,Chat,Technical Support,5,12,0
C00306,2023-01-09,App,Service Request,3,42,0
C00198,2023-01-09,Chat,Billing Inquiry,3,33,0
C00207,2023-01-09,Email,Service Request,2,2,1
C00464,2023-01-09,Chat,Complaint,2,28,1
C00277,2023-01-09,Phone,Complaint,2,17,1
C00007,2023-01-09,Chat,Billing Inquiry,2,37,0
C00092,2023-01-10,App,Service Request,5,12,0
C00417,2023-01-10,Chat,General Inquiry,2,28,0
C00094,2023-01-10,Chat,Complaint,4,6,1
C00148,2023-01-10,Email,Technical Support,2,15,0
C00161,2023-01-10,App,Billing Inquiry,3,25,0
C00197,2023-01-10,Chat,Complaint,3,40,1
C00297,2023-01-11,In-Person,Complaint,3,12,0
C00287,2023-01-11,Phone,Billing Inquiry,5,41,1
C00461,2023-01-11,In-Person,General Inquiry,5,15,1
C00310,2023-01-11,Chat,Technical Support,1,25,0
C00162,2023-01-11,Phone,Billing Inquiry,5,28,1
C00158,2023-01-11,Phone,General Inquiry,2,34,0
C00167,2023-01-12,In-Person,General Inquiry,4,29,0
C00083,2023-01-12,In-Person,Service Request,4,30,1
C00111,2023-01-12,App,Service Request,2,26,0
C00137,2023-01-12,Email,General Inquiry,1,21,0
C00439,2023-01-12,In-Person,Complaint,3,12,0
C00130,2023-01-12,App,General Inquiry,3,38,1
C00146,2023-01-13,In-Person,Technical Support,4,33,1
C00310,2023-01-13,Phone,Service Request,3,24,0
C00262,2023-01-13,Phone,General Inquiry,4,19,1
C00458,2023-01-13,Email,Billing Inquiry,1,21,0
C00261,2023-01-13,App,Billing Inquiry,2,30,0
C00314,2023-01-13,App,General Inquiry,3,41,0
C00175,2023-01-14,App,Service Request,5,43,0
C00381,2023-01-14,Chat,Complaint,1,27,1
C00268,2023-01-14,In-Person,Complaint,4,40,1
C00407,2023-01-14,App,Complaint,2,9,0
C00317,2023-01-14,In-Person,General Inquiry,1,13,0
C00160,2023-01-14,App,Complaint,3,34,1
C00257,2023-01-15,In-Person,Technical Support,4,2,1
C00135,2023-01-15,Email,General Inquiry,2,23,0
C00433,2023-01-15,App,Billing Inquiry,1,43,0
C00486,2023-01-15,In-Person,Billing Inquiry,3,38,1
